Region,County,First Dose,Series Complete,Report as of
Capital Region,Saratoga,44,0,12/15/2020
Capital Region,Schenectady,72,0,12/15/2020
Mohawk Valley,Schoharie,1,0,12/15/2020
Southern Tier,Schuyler,0,0,12/15/2020
Finger Lakes,Seneca,0,0,12/15/2020
North Country,St. Lawrence,0,0,12/15/2020
Southern Tier,Steuben,0,0,12/15/2020
Long Island,Suffolk,24,0,12/15/2020
Mid-Hudson,Sullivan,0,0,12/15/2020
Southern Tier,Tioga,0,0,12/15/2020
Southern Tier,Tompkins,0,0,12/15/2020
Mid-Hudson,Ulster,6,0,12/15/2020
Capital Region,Warren,6,0,12/15/2020
Capital Region,Washington,2,0,12/15/2020
Finger Lakes,Wayne,0,0,12/15/2020
Mid-Hudson,Westchester,80,0,12/15/2020
Finger Lakes,Wyoming,0,0,12/15/2020
Finger Lakes,Yates,0,0,12/15/2020
Capital Region,Albany,375,1,12/16/2020
Western New York,Allegany,6,0,12/16/2020
New York City,Bronx,190,2,12/16/2020
Southern Tier,Broome,1,0,12/16/2020
Western New York,Cattaraugus,21,0,12/16/2020
Central New York,Cayuga,8,0,12/16/2020
Western New York,Chautauqua,21,0,12/16/2020
Southern Tier,Chemung,2,0,12/16/2020
Southern Tier,Chenango,0,0,12/16/2020
North Country,Clinton,11,0,12/16/2020
Capital Region,Columbia,17,0,12/16/2020
Central New York,Cortland,1,0,12/16/2020
Southern Tier,Delaware,1,0,12/16/2020
Mid-Hudson,Dutchess,170,0,12/16/2020
Western New York,Erie,28,0,12/16/2020
North Country,Essex,1,0,12/16/2020
North Country,Franklin,7,0,12/16/2020
Mohawk Valley,Fulton,8,0,12/16/2020
Finger Lakes,Genesee,3,0,12/16/2020
Capital Region,Greene,11,0,12/16/2020
North Country,Hamilton,0,0,12/16/2020
Mohawk Valley,Herkimer,4,0,12/16/2020
North Country,Jefferson,1,0,12/16/2020
New York City,Kings,546,1,12/16/2020
North Country,Lewis,0,0,12/16/2020
Finger Lakes,Livingston,17,0,12/16/2020
Central New York,Madison,17,0,12/16/2020
Finger Lakes,Monroe,403,1,12/16/2020
Mohawk Valley,Montgomery,9,0,12/16/2020
Long Island,Nassau,489,0,12/16/2020
New York City,New York,1479,2,12/16/2020
Western New York,Niagara,1,0,12/16/2020
Mohawk Valley,Oneida,39,0,12/16/2020
Central New York,Onondaga,208,1,12/16/2020
Finger Lakes,Ontario,21,0,12/16/2020
Mid-Hudson,Orange,63,0,12/16/2020
Finger Lakes,Orleans,3,0,12/16/2020
Central New York,Oswego,9,0,12/16/2020
Mohawk Valley,Otsego,0,0,12/16/2020
Mid-Hudson,Putnam,34,1,12/16/2020
New York City,Queens,573,3,12/16/2020
Capital Region,Rensselaer,100,0,12/16/2020
New York City,Richmond,184,0,12/16/2020
Mid-Hudson,Rockland,87,1,12/16/2020
Capital Region,Saratoga,124,0,12/16/2020
Capital Region,Schenectady,167,0,12/16/2020
Mohawk Valley,Schoharie,8,0,12/16/2020
Southern Tier,Schuyler,0,0,12/16/2020
Finger Lakes,Seneca,1,0,12/16/2020
North Country,St. Lawrence,226,1,12/16/2020
Southern Tier,Steuben,0,0,12/16/2020
Long Island,Suffolk,212,1,12/16/2020
Mid-Hudson,Sullivan,2,0,12/16/2020
Southern Tier,Tioga,2,0,12/16/2020
Southern Tier,Tompkins,1,0,12/16/2020
Mid-Hudson,Ulster,53,0,12/16/2020
Capital Region,Warren,15,0,12/16/2020
Capital Region,Washington,7,0,12/16/2020
Finger Lakes,Wayne,9,1,12/16/2020
Mid-Hudson,Westchester,582,2,12/16/2020
Finger Lakes,Wyoming,3,0,12/16/2020
Finger Lakes,Yates,0,0,12/16/2020
Capital Region,Albany,458,1,12/17/2020
Western New York,Allegany,21,0,12/17/2020
New York City,Bronx,341,2,12/17/2020
Southern Tier,Broome,3,0,12/17/2020
Western New York,Cattaraugus,70,0,12/17/2020
Central New York,Cayuga,18,0,12/17/2020
Western New York,Chautauqua,101,0,12/17/2020
Southern Tier,Chemung,3,0,12/17/2020
Southern Tier,Chenango,0,0,12/17/2020
North Country,Clinton,22,0,12/17/2020
Capital Region,Columbia,25,0,12/17/2020
Central New York,Cortland,2,0,12/17/2020
Southern Tier,Delaware,1,0,12/17/2020
Mid-Hudson,Dutchess,219,0,12/17/2020
Western New York,Erie,724,1,12/17/2020
North Country,Essex,10,0,12/17/2020
North Country,Franklin,25,0,12/17/2020
Mohawk Valley,Fulton,11,0,12/17/2020
Finger Lakes,Genesee,7,0,12/17/2020
Capital Region,Greene,14,0,12/17/2020
North Country,Hamilton,0,0,12/17/2020
Mohawk Valley,Herkimer,24,0,12/17/2020
North Country,Jefferson,4,0,12/17/2020
New York City,Kings,1105,7,12/17/2020
North Country,Lewis,3,0,12/17/2020
Finger Lakes,Livingston,23,0,12/17/2020
Central New York,Madison,33,0,12/17/2020
Finger Lakes,Monroe,596,1,12/17/2020
Mohawk Valley,Montgomery,13,0,12/17/2020
Long Island,Nassau,957,1,12/17/2020
New York City,New York,2405,5,12/17/2020
Western New York,Niagara,50,0,12/17/2020
Mohawk Valley,Oneida,156,0,12/17/2020
Central New York,Onondaga,435,1,12/17/2020
Finger Lakes,Ontario,32,0,12/17/2020
Mid-Hudson,Orange,216,3,12/17/2020
Finger Lakes,Orleans,7,0,12/17/2020
Central New York,Oswego,18,0,12/17/2020
Mohawk Valley,Otsego,1,0,12/17/2020
Mid-Hudson,Putnam,54,1,12/17/2020
New York City,Queens,1084,4,12/17/2020
Capital Region,Rensselaer,132,0,12/17/2020
New York City,Richmond,409,0,12/17/2020
Mid-Hudson,Rockland,261,1,12/17/2020
Capital Region,Saratoga,193,0,12/17/2020
Capital Region,Schenectady,217,0,12/17/2020
Mohawk Valley,Schoharie,8,0,12/17/2020
Southern Tier,Schuyler,0,0,12/17/2020
Finger Lakes,Seneca,1,0,12/17/2020
North Country,St. Lawrence,354,1,12/17/2020
Southern Tier,Steuben,2,0,12/17/2020
Long Island,Suffolk,682,2,12/17/2020
Mid-Hudson,Sullivan,6,0,12/17/2020
Southern Tier,Tioga,3,0,12/17/2020
Southern Tier,Tompkins,3,0,12/17/2020
Mid-Hudson,Ulster,81,0,12/17/2020
Capital Region,Warren,39,0,12/17/2020
Capital Region,Washington,12,0,12/17/2020
Finger Lakes,Wayne,16,1,12/17/2020
Mid-Hudson,Westchester,938,4,12/17/2020
Finger Lakes,Wyoming,11,0,12/17/2020
Finger Lakes,Yates,1,0,12/17/2020
Capital Region,Albany,701,2,12/18/2020
Western New York,Allegany,40,0,12/18/2020
New York City,Bronx,592,3,12/18/2020
Southern Tier,Broome,7,0,12/18/2020
Western New York,Cattaraugus,144,0,12/18/2020
Central New York,Cayuga,25,0,12/18/2020
Western New York,Chautauqua,133,0,12/18/2020
Southern Tier,Chemung,4,0,12/18/2020
Southern Tier,Chenango,1,0,12/18/2020
North Country,Clinton,27,1,12/18/2020
Capital Region,Columbia,48,0,12/18/2020
Central New York,Cortland,3,0,12/18/2020
Southern Tier,Delaware,2,0,12/18/2020
Mid-Hudson,Dutchess,279,0,12/18/2020
Western New York,Erie,1641,1,12/18/2020
North Country,Essex,19,0,12/18/2020
North Country,Franklin,55,0,12/18/2020
Mohawk Valley,Fulton,16,0,12/18/2020
Finger Lakes,Genesee,19,0,12/18/2020
Capital Region,Greene,23,0,12/18/2020
North Country,Hamilton,0,0,12/18/2020
Mohawk Valley,Herkimer,41,0,12/18/2020
North Country,Jefferson,17,0,12/18/2020
New York City,Kings,2056,13,12/18/2020
North Country,Lewis,3,0,12/18/2020
Finger Lakes,Livingston,37,0,12/18/2020
Central New York,Madison,46,0,12/18/2020
Finger Lakes,Monroe,1122,1,12/18/2020
Mohawk Valley,Montgomery,19,0,12/18/2020
Long Island,Nassau,1664,2,12/18/2020
New York City,New York,3488,9,12/18/2020
Western New York,Niagara,135,0,12/18/2020
Mohawk Valley,Oneida,260,0,12/18/2020
Central New York,Onondaga,709,1,12/18/2020
Finger Lakes,Ontario,59,0,12/18/2020
Mid-Hudson,Orange,475,5,12/18/2020
Finger Lakes,Orleans,11,0,12/18/2020
Central New York,Oswego,30,0,12/18/2020
Mohawk Valley,Otsego,6,0,12/18/2020
Mid-Hudson,Putnam,78,2,12/18/2020
New York City,Queens,1753,8,12/18/2020
Capital Region,Rensselaer,187,0,12/18/2020
New York City,Richmond,668,0,12/18/2020
Mid-Hudson,Rockland,426,1,12/18/2020
Capital Region,Saratoga,344,0,12/18/2020
Capital Region,Schenectady,274,0,12/18/2020
Mohawk Valley,Schoharie,12,0,12/18/2020
Southern Tier,Schuyler,0,0,12/18/2020
Finger Lakes,Seneca,4,0,12/18/2020
North Country,St. Lawrence,414,1,12/18/2020
Southern Tier,Steuben,6,0,12/18/2020
Long Island,Suffolk,1305,5,12/18/2020
Mid-Hudson,Sullivan,23,0,12/18/2020
Southern Tier,Tioga,3,0,12/18/2020
Southern Tier,Tompkins,5,0,12/18/2020
Mid-Hudson,Ulster,154,1,12/18/2020
Capital Region,Warren,74,0,12/18/2020
Capital Region,Washington,28,0,12/18/2020
Finger Lakes,Wayne,29,1,12/18/2020
Mid-Hudson,Westchester,1420,5,12/18/2020
Finger Lakes,Wyoming,14,0,12/18/2020
Finger Lakes,Yates,4,0,12/18/2020
Capital Region,Albany,780,2,12/19/2020
Western New York,Allegany,41,0,12/19/2020
New York City,Bronx,668,3,12/19/2020
Southern Tier,Broome,10,0,12/19/2020
Western New York,Cattaraugus,145,0,12/19/2020
Central New York,Cayuga,28,0,12/19/2020
Western New York,Chautauqua,133,0,12/19/2020
Southern Tier,Chemung,5,0,12/19/2020
Southern Tier,Chenango,3,0,12/19/2020
North Country,Clinton,39,1,12/19/2020
Capital Region,Columbia,82,0,12/19/2020
Central New York,Cortland,5,0,12/19/2020
Southern Tier,Delaware,4,0,12/19/2020
Mid-Hudson,Dutchess,321,0,12/19/2020
Western New York,Erie,1863,1,12/19/2020
North Country,Essex,24,0,12/19/2020
North Country,Franklin,93,0,12/19/2020
Mohawk Valley,Fulton,19,0,12/19/2020
Finger Lakes,Genesee,19,0,12/19/2020
Capital Region,Greene,33,0,12/19/2020
North Country,Hamilton,0,0,12/19/2020
Mohawk Valley,Herkimer,54,0,12/19/2020
North Country,Jefferson,22,0,12/19/2020
New York City,Kings,2860,15,12/19/2020
North Country,Lewis,4,0,12/19/2020
Finger Lakes,Livingston,43,0,12/19/2020
Central New York,Madison,63,0,12/19/2020
Finger Lakes,Monroe,1405,2,12/19/2020
Mohawk Valley,Montgomery,32,0,12/19/2020
Long Island,Nassau,2328,3,12/19/2020
New York City,New York,3896,9,12/19/2020
Western New York,Niagara,206,0,12/19/2020
Mohawk Valley,Oneida,320,0,12/19/2020
Central New York,Onondaga,828,1,12/19/2020
Finger Lakes,Ontario,95,0,12/19/2020
Mid-Hudson,Orange,775,6,12/19/2020
Finger Lakes,Orleans,13,0,12/19/2020
Central New York,Oswego,34,0,12/19/2020
Mohawk Valley,Otsego,71,0,12/19/2020
Mid-Hudson,Putnam,91,2,12/19/2020
New York City,Queens,2055,9,12/19/2020
Capital Region,Rensselaer,209,0,12/19/2020
New York City,Richmond,901,0,12/19/2020
Mid-Hudson,Rockland,585,1,12/19/2020
Capital Region,Saratoga,481,1,12/19/2020
Capital Region,Schenectady,302,0,12/19/2020
Mohawk Valley,Schoharie,13,0,12/19/2020
Southern Tier,Schuyler,0,0,12/19/2020
Finger Lakes,Seneca,7,0,12/19/2020
North Country,St. Lawrence,510,1,12/19/2020
Southern Tier,Steuben,6,0,12/19/2020
Long Island,Suffolk,1588,7,12/19/2020
Mid-Hudson,Sullivan,41,0,12/19/2020
Southern Tier,Tioga,3,0,12/19/2020
Southern Tier,Tompkins,6,0,12/19/2020
Mid-Hudson,Ulster,190,1,12/19/2020
Capital Region,Warren,107,0,12/19/2020
Capital Region,Washington,39,0,12/19/2020
Finger Lakes,Wayne,38,1,12/19/2020
Mid-Hudson,Westchester,1600,6,12/19/2020
Finger Lakes,Wyoming,15,0,12/19/2020
Finger Lakes,Yates,5,0,12/19/2020
Capital Region,Albany,805,2,12/20/2020
Western New York,Allegany,45,0,12/20/2020
New York City,Bronx,699,3,12/20/2020
Southern Tier,Broome,15,0,12/20/2020
Western New York,Cattaraugus,160,0,12/20/2020
Central New York,Cayuga,30,0,12/20/2020
Western New York,Chautauqua,139,0,12/20/2020
Southern Tier,Chemung,5,0,12/20/2020
Southern Tier,Chenango,8,0,12/20/2020
North Country,Clinton,40,1,12/20/2020
Capital Region,Columbia,84,0,12/20/2020
Central New York,Cortland,5,0,12/20/2020
Southern Tier,Delaware,6,0,12/20/2020
Mid-Hudson,Dutchess,328,0,12/20/2020
Western New York,Erie,2125,2,12/20/2020
North Country,Essex,26,0,12/20/2020
North Country,Franklin,129,0,12/20/2020
Mohawk Valley,Fulton,30,0,12/20/2020
Finger Lakes,Genesee,22,0,12/20/2020
Capital Region,Greene,35,0,12/20/2020
North Country,Hamilton,1,0,12/20/2020
Mohawk Valley,Herkimer,74,0,12/20/2020
North Country,Jefferson,26,0,12/20/2020
New York City,Kings,3184,15,12/20/2020
North Country,Lewis,4,0,12/20/2020
Finger Lakes,Livingston,48,0,12/20/2020
Central New York,Madison,72,0,12/20/2020
Finger Lakes,Monroe,1576,2,12/20/2020
Mohawk Valley,Montgomery,61,0,12/20/2020
Long Island,Nassau,2521,3,12/20/2020
New York City,New York,4124,10,12/20/2020
Western New York,Niagara,224,0,12/20/2020
Mohawk Valley,Oneida,354,0,12/20/2020
Central New York,Onondaga,902,1,12/20/2020
Finger Lakes,Ontario,102,0,12/20/2020
Mid-Hudson,Orange,849,7,12/20/2020
Finger Lakes,Orleans,17,0,12/20/2020
Central New York,Oswego,40,0,12/20/2020
Mohawk Valley,Otsego,128,0,12/20/2020
Mid-Hudson,Putnam,95,2,12/20/2020
New York City,Queens,2194,10,12/20/2020
Capital Region,Rensselaer,221,0,12/20/2020
New York City,Richmond,1058,0,12/20/2020
Mid-Hudson,Rockland,600,1,12/20/2020
Capital Region,Saratoga,489,1,12/20/2020
Capital Region,Schenectady,319,0,12/20/2020
Mohawk Valley,Schoharie,19,0,12/20/2020
Southern Tier,Schuyler,0,0,12/20/2020
Finger Lakes,Seneca,7,0,12/20/2020
North Country,St. Lawrence,595,1,12/20/2020
Southern Tier,Steuben,6,0,12/20/2020
Long Island,Suffolk,1745,7,12/20/2020
Mid-Hudson,Sullivan,54,0,12/20/2020
Southern Tier,Tioga,3,0,12/20/2020
Southern Tier,Tompkins,7,0,12/20/2020
Mid-Hudson,Ulster,219,1,12/20/2020
Capital Region,Warren,107,0,12/20/2020
Capital Region,Washington,39,0,12/20/2020
Finger Lakes,Wayne,46,1,12/20/2020
Mid-Hudson,Westchester,1658,7,12/20/2020
Finger Lakes,Wyoming,21,0,12/20/2020
Finger Lakes,Yates,6,0,12/20/2020
Capital Region,Albany,873,2,12/21/2020
Western New York,Allegany,50,0,12/21/2020
New York City,Bronx,908,3,12/21/2020
Southern Tier,Broome,21,0,12/21/2020
Western New York,Cattaraugus,177,0,12/21/2020
Central New York,Cayuga,63,0,12/21/2020
Western New York,Chautauqua,165,0,12/21/2020
Southern Tier,Chemung,5,0,12/21/2020
Southern Tier,Chenango,19,0,12/21/2020
North Country,Clinton,93,1,12/21/2020
Capital Region,Columbia,104,0,12/21/2020
Central New York,Cortland,17,0,12/21/2020
Southern Tier,Delaware,7,0,12/21/2020
Mid-Hudson,Dutchess,416,2,12/21/2020
Western New York,Erie,2925,2,12/21/2020
North Country,Essex,36,0,12/21/2020
North Country,Franklin,172,0,12/21/2020
Mohawk Valley,Fulton,77,0,12/21/2020
Finger Lakes,Genesee,29,0,12/21/2020
Capital Region,Greene,46,0,12/21/2020
North Country,Hamilton,1,0,12/21/2020
Mohawk Valley,Herkimer,86,0,12/21/2020
North Country,Jefferson,29,0,12/21/2020
New York City,Kings,3927,16,12/21/2020
North Country,Lewis,5,0,12/21/2020
Finger Lakes,Livingston,56,0,12/21/2020
Central New York,Madison,120,0,12/21/2020
Finger Lakes,Monroe,2040,2,12/21/2020
Mohawk Valley,Montgomery,101,0,12/21/2020
Long Island,Nassau,3042,5,12/21/2020
New York City,New York,4836,11,12/21/2020
Western New York,Niagara,411,0,12/21/2020
Mohawk Valley,Oneida,402,0,12/21/2020
Central New York,Onondaga,1078,3,12/21/2020
Finger Lakes,Ontario,123,0,12/21/2020
Mid-Hudson,Orange,940,9,12/21/2020
Finger Lakes,Orleans,25,0,12/21/2020
Central New York,Oswego,56,0,12/21/2020
Mohawk Valley,Otsego,162,0,12/21/2020
Mid-Hudson,Putnam,108,3,12/21/2020
New York City,Queens,2800,15,12/21/2020
Capital Region,Rensselaer,238,1,12/21/2020
New York City,Richmond,1270,2,12/21/2020
Mid-Hudson,Rockland,666,1,12/21/2020
Capital Region,Saratoga,563,2,12/21/2020
Capital Region,Schenectady,366,0,12/21/2020
Mohawk Valley,Schoharie,21,0,12/21/2020
Southern Tier,Schuyler,0,0,12/21/2020
Finger Lakes,Seneca,7,0,12/21/2020
North Country,St. Lawrence,644,1,12/21/2020
Southern Tier,Steuben,10,0,12/21/2020
Long Island,Suffolk,2127,8,12/21/2020
Mid-Hudson,Sullivan,69,0,12/21/2020
Southern Tier,Tioga,3,0,12/21/2020
Southern Tier,Tompkins,17,0,12/21/2020
Mid-Hudson,Ulster,265,1,12/21/2020
Capital Region,Warren,128,0,12/21/2020
Capital Region,Washington,55,0,12/21/2020
Finger Lakes,Wayne,60,1,12/21/2020
Mid-Hudson,Westchester,1985,9,12/21/2020
Finger Lakes,Wyoming,29,0,12/21/2020
Finger Lakes,Yates,6,0,12/21/2020
Capital Region,Albany,1077,2,12/22/2020
Western New York,Allegany,69,0,12/22/2020
New York City,Bronx,1315,4,12/22/2020
Southern Tier,Broome,36,0,12/22/2020
Western New York,Cattaraugus,226,0,12/22/2020
Central New York,Cayuga,105,0,12/22/2020
Western New York,Chautauqua,183,0,12/22/2020
Southern Tier,Chemung,5,0,12/22/2020
Southern Tier,Chenango,38,0,12/22/2020
North Country,Clinton,202,1,12/22/2020
Capital Region,Columbia,116,0,12/22/2020
Central New York,Cortland,122,1,12/22/2020
Southern Tier,Delaware,13,0,12/22/2020
Mid-Hudson,Dutchess,555,5,12/22/2020
Western New York,Erie,3868,4,12/22/2020
North Country,Essex,59,0,12/22/2020
North Country,Franklin,204,0,12/22/2020
Mohawk Valley,Fulton,86,0,12/22/2020
Finger Lakes,Genesee,38,0,12/22/2020
Capital Region,Greene,53,0,12/22/2020
North Country,Hamilton,1,0,12/22/2020
Mohawk Valley,Herkimer,102,0,12/22/2020
North Country,Jefferson,40,0,12/22/2020
New York City,Kings,5214,23,12/22/2020
North Country,Lewis,9,0,12/22/2020
Finger Lakes,Livingston,89,0,12/22/2020
Central New York,Madison,187,0,12/22/2020
Finger Lakes,Monroe,2676,4,12/22/2020
Mohawk Valley,Montgomery,106,0,12/22/2020
Long Island,Nassau,4191,5,12/22/2020
New York City,New York,6576,17,12/22/2020
Western New York,Niagara,565,0,12/22/2020
Mohawk Valley,Oneida,522,0,12/22/2020
Central New York,Onondaga,1432,5,12/22/2020
Finger Lakes,Ontario,248,0,12/22/2020
Mid-Hudson,Orange,1186,11,12/22/2020
Finger Lakes,Orleans,32,0,12/22/2020
Central New York,Oswego,92,0,12/22/2020
Mohawk Valley,Otsego,188,0,12/22/2020
Mid-Hudson,Putnam,137,3,12/22/2020
New York City,Queens,3889,17,12/22/2020
Capital Region,Rensselaer,291,1,12/22/2020
New York City,Richmond,1771,3,12/22/2020
Mid-Hudson,Rockland,857,1,12/22/2020
Capital Region,Saratoga,692,2,12/22/2020
Capital Region,Schenectady,400,0,12/22/2020
Mohawk Valley,Schoharie,27,0,12/22/2020
Southern Tier,Schuyler,1,0,12/22/2020
Finger Lakes,Seneca,35,0,12/22/2020
North Country,St. Lawrence,679,2,12/22/2020
Southern Tier,Steuben,80,0,12/22/2020
Long Island,Suffolk,2947,11,12/22/2020
Mid-Hudson,Sullivan,87,1,12/22/2020
Southern Tier,Tioga,5,0,12/22/2020
Southern Tier,Tompkins,32,0,12/22/2020
Mid-Hudson,Ulster,312,1,12/22/2020
Capital Region,Warren,152,0,12/22/2020
Capital Region,Washington,77,0,12/22/2020
Finger Lakes,Wayne,94,1,12/22/2020
Mid-Hudson,Westchester,2634,12,12/22/2020
Finger Lakes,Wyoming,60,0,12/22/2020
Finger Lakes,Yates,19,0,12/22/2020
Capital Region,Albany,2019,4,12/23/2020
Western New York,Allegany,137,0,12/23/2020
New York City,Bronx,2012,7,12/23/2020
Southern Tier,Broome,78,0,12/23/2020
Western New York,Cattaraugus,277,0,12/23/2020
Central New York,Cayuga,133,0,12/23/2020
Western New York,Chautauqua,315,0,12/23/2020
Southern Tier,Chemung,16,0,12/23/2020
Southern Tier,Chenango,80,0,12/23/2020
North Country,Clinton,272,1,12/23/2020
Capital Region,Columbia,156,0,12/23/2020
Central New York,Cortland,136,1,12/23/2020
Southern Tier,Delaware,113,1,12/23/2020
Mid-Hudson,Dutchess,743,7,12/23/2020
Western New York,Erie,6097,4,12/23/2020
North Country,Essex,86,0,12/23/2020
North Country,Franklin,239,0,12/23/2020
Mohawk Valley,Fulton,174,0,12/23/2020
Finger Lakes,Genesee,54,0,12/23/2020
Capital Region,Greene,82,0,12/23/2020
North Country,Hamilton,8,0,12/23/2020
Mohawk Valley,Herkimer,151,0,12/23/2020
North Country,Jefferson,113,0,12/23/2020
New York City,Kings,6914,26,12/23/2020
North Country,Lewis,19,0,12/23/2020
Finger Lakes,Livingston,152,0,12/23/2020
Central New York,Madison,280,0,12/23/2020
Finger Lakes,Monroe,3062,4,12/23/2020
Mohawk Valley,Montgomery,247,0,12/23/2020
Long Island,Nassau,5842,11,12/23/2020
New York City,New York,9007,19,12/23/2020
Western New York,Niagara,834,1,12/23/2020
Mohawk Valley,Oneida,929,1,12/23/2020
Central New York,Onondaga,1632,5,12/23/2020
Finger Lakes,Ontario,458,0,12/23/2020
Mid-Hudson,Orange,1384,12,12/23/2020
Finger Lakes,Orleans,41,0,12/23/2020
Central New York,Oswego,112,0,12/23/2020
Mohawk Valley,Otsego,280,0,12/23/2020
Mid-Hudson,Putnam,197,4,12/23/2020
New York City,Queens,5640,19,12/23/2020
Capital Region,Rensselaer,544,2,12/23/2020
New York City,Richmond,2322,5,12/23/2020
Mid-Hudson,Rockland,1093,1,12/23/2020
Capital Region,Saratoga,1220,3,12/23/2020
Capital Region,Schenectady,676,2,12/23/2020
Mohawk Valley,Schoharie,40,1,12/23/2020
Southern Tier,Schuyler,15,0,12/23/2020
Finger Lakes,Seneca,44,0,12/23/2020
North Country,St. Lawrence,830,2,12/23/2020
Southern Tier,Steuben,192,0,12/23/2020
Long Island,Suffolk,3766,11,12/23/2020
Mid-Hudson,Sullivan,101,1,12/23/2020
Southern Tier,Tioga,10,0,12/23/2020
Southern Tier,Tompkins,47,0,12/23/2020
