algorithm,dataset,target_noise,data_group,symbolic_solution_rate_(%),accuracy_solution,rmse_test,log_mse_test
AFP,feynman_I_11_19,0.0,Feynman,0.0,0.0,1.390984199213736,1.0766519295792876
AFP,feynman_I_11_19,0.001,Feynman,0.0,0.0,1.9501327350148359,1.5692444045781462
AFP,feynman_I_11_19,0.01,Feynman,0.0,0.0,2.3550322444221234,1.8788811956143403
AFP,feynman_I_12_1,0.0,Feynman,100.0,1.0,2.1298180064259244e-15,0.0
AFP,feynman_I_12_1,0.001,Feynman,25.0,1.0,0.02766834066691492,0.000765244201214688
AFP,feynman_I_12_1,0.01,Feynman,12.5,0.0,0.395357836032076,0.1452320137938177
AFP,feynman_I_12_11,0.0,Feynman,25.0,0.0,3.0461851249746976,2.330126698529329
AFP,feynman_I_12_11,0.001,Feynman,12.5,0.0,2.555842831256442,2.019204765168593
AFP,feynman_I_12_11,0.01,Feynman,12.5,0.5,1.0534121443477515,0.7465349243394537
AFP,feynman_I_12_2,0.0,Feynman,12.5,0.0,0.009250129962731569,8.556124385980597e-05
AFP,feynman_I_12_2,0.001,Feynman,12.5,1.0,0.0018006389761144278,3.2422954661046964e-06
AFP,feynman_I_12_2,0.01,Feynman,12.5,0.0,0.006041832050051904,3.650306827602823e-05
AFP,feynman_I_12_4,0.0,Feynman,37.5,1.0,0.0004947850913801828,2.448122566984297e-07
AFP,feynman_I_12_4,0.001,Feynman,50.0,1.0,6.726578416231645e-05,4.524685726958609e-09
AFP,feynman_I_12_4,0.01,Feynman,12.5,0.0,0.001405779942724925,1.9762152946866477e-06
AFP,feynman_I_12_5,0.0,Feynman,100.0,1.0,2.127920538636371e-15,0.0
AFP,feynman_I_12_5,0.001,Feynman,25.0,1.0,0.023384133444144275,0.0005466682466157187
AFP,feynman_I_12_5,0.01,Feynman,37.5,1.0,0.10308939987079416,0.01057135022400246
AFP,feynman_I_13_12,0.0,Feynman,0.0,0.0,2.0013669766304965,1.6105312695307508
AFP,feynman_I_13_12,0.001,Feynman,0.0,0.0,2.4312342103640128,1.9330998443015202
AFP,feynman_I_13_12,0.01,Feynman,0.0,0.0,1.9672068234576623,1.5830739546070443
AFP,feynman_I_13_4,0.0,Feynman,0.0,0.0,3.9493468938808776,2.809242495073679
AFP,feynman_I_13_4,0.001,Feynman,0.0,0.0,3.3020290263947536,2.4768237116100607
AFP,feynman_I_13_4,0.01,Feynman,0.0,0.0,4.114795800581157,2.8865614233651615
AFP,feynman_I_14_3,0.0,Feynman,100.0,1.0,8.05642044451282e-15,0.0
AFP,feynman_I_14_3,0.001,Feynman,37.5,1.0,0.06571410334672566,0.004309046090208966
AFP,feynman_I_14_3,0.01,Feynman,25.0,0.0,0.8741121031887694,0.5676247554717955
AFP,feynman_I_14_4,0.0,Feynman,50.0,1.0,0.0006189243509494496,3.8306727891282684e-07
AFP,feynman_I_14_4,0.001,Feynman,62.5,1.0,0.03562701760003687,0.0012684795226432465
AFP,feynman_I_14_4,0.01,Feynman,12.5,0.0,0.49978936954899555,0.22297506825308192
AFP,feynman_I_15_10,0.0,Feynman,0.0,1.0,0.032839021387733994,0.0010778202686987405
AFP,feynman_I_15_10,0.001,Feynman,0.0,1.0,0.05181709582410552,0.0026814132158558984
AFP,feynman_I_15_10,0.01,Feynman,0.0,0.0,0.15669839826722284,0.024257774666466538
AFP,feynman_I_15_3t,0.0,Feynman,0.0,0.0,0.07765021580658125,0.006011450982361821
AFP,feynman_I_15_3t,0.001,Feynman,0.0,0.0,0.0763850699329312,0.0058177230922024144
AFP,feynman_I_15_3t,0.01,Feynman,0.0,0.0,0.16407607812118855,0.026564965386430748
AFP,feynman_I_15_3x,0.0,Feynman,0.0,0.0,0.08524251518779519,0.007240014127665762
AFP,feynman_I_15_3x,0.001,Feynman,0.0,0.0,0.1189304277104098,0.0140453473267627
AFP,feynman_I_15_3x,0.01,Feynman,0.0,0.0,0.25391645674764374,0.06248037367369761
AFP,feynman_I_16_6,0.0,Feynman,0.0,0.0,0.20385819063061475,0.040717824506448196
AFP,feynman_I_16_6,0.001,Feynman,0.0,0.0,0.20793395329171235,0.04232792780756564
AFP,feynman_I_16_6,0.01,Feynman,0.0,0.0,0.26371730774914504,0.06723502455830022
AFP,feynman_I_18_12,0.0,Feynman,87.5,1.0,2.608680421419224e-15,0.0
AFP,feynman_I_18_12,0.001,Feynman,37.5,1.0,0.025742614592923138,0.000662462729183599
AFP,feynman_I_18_12,0.01,Feynman,25.0,1.0,0.2018874725664116,0.03994982380601122
AFP,feynman_I_18_14,0.0,Feynman,75.0,1.0,9.950598649892017e-15,0.0
AFP,feynman_I_18_14,0.001,Feynman,62.5,1.0,9.84696395980425e-15,0.0
AFP,feynman_I_18_14,0.01,Feynman,12.5,0.0,1.1332625646709986,0.8260526450443663
AFP,feynman_I_18_4,0.0,Feynman,0.0,0.0,0.20412945325758364,0.04082407485784158
AFP,feynman_I_18_4,0.001,Feynman,0.0,0.0,0.19917764384963002,0.038905022760514475
AFP,feynman_I_18_4,0.01,Feynman,0.0,0.0,0.24665637811222763,0.059060452188641935
AFP,feynman_I_24_6,0.0,Feynman,0.0,0.0,1.6671557976688989,1.3295675036551866
AFP,feynman_I_24_6,0.001,Feynman,0.0,0.0,1.696569347675727,1.355409174123132
AFP,feynman_I_24_6,0.01,Feynman,0.0,0.0,1.8881256509729307,1.518422560886926
AFP,feynman_I_25_13,0.0,Feynman,100.0,1.0,2.6973082018669936e-16,0.0
AFP,feynman_I_25_13,0.001,Feynman,25.0,1.0,0.0035613570536379745,1.2683183631537546e-05
AFP,feynman_I_25_13,0.01,Feynman,25.0,0.0,0.041096413282995285,0.0016874905712848318
AFP,feynman_I_27_6,0.0,Feynman,50.0,1.0,3.4963049724194585e-06,1.2224221634863033e-11
AFP,feynman_I_27_6,0.001,Feynman,0.0,0.0,0.030813456383907666,0.0009490186336522671
AFP,feynman_I_27_6,0.01,Feynman,0.0,0.0,0.06414210541288663,0.004105769468091192
AFP,feynman_I_29_16,0.0,Feynman,0.0,0.0,0.5490898835821545,0.26351721514301657
AFP,feynman_I_29_16,0.001,Feynman,0.0,0.0,0.555797562415715,0.26919544059986844
AFP,feynman_I_29_16,0.01,Feynman,0.0,0.0,0.5895260900129202,0.29828145807326595
AFP,feynman_I_29_4,0.0,Feynman,87.5,1.0,3.6741823646207074e-16,0.0
AFP,feynman_I_29_4,0.001,Feynman,37.5,1.0,0.004289207232339647,1.8397129453803048e-05
AFP,feynman_I_29_4,0.01,Feynman,12.5,0.0,0.07744449190738185,0.005979735021529798
AFP,feynman_I_30_3,0.0,Feynman,0.0,0.0,0.9932509189368461,0.6863981509937238
AFP,feynman_I_30_3,0.001,Feynman,0.0,0.0,1.2233978345433894,0.9149707657281957
AFP,feynman_I_30_3,0.01,Feynman,0.0,0.0,1.2036104064941362,0.8955482914252697
AFP,feynman_I_32_17,0.0,Feynman,0.0,0.0,0.8680198630074197,0.5615901134289543
AFP,feynman_I_32_17,0.001,Feynman,0.0,0.0,0.7478924803956497,0.4442646827440146
AFP,feynman_I_32_17,0.01,Feynman,0.0,0.0,0.9650595027744552,0.6582139816926691
AFP,feynman_I_32_5,0.0,Feynman,0.0,0.0,0.06595781994220092,0.0043409982300815384
AFP,feynman_I_32_5,0.001,Feynman,0.0,0.0,0.07335940898448935,0.0053671738063095905
AFP,feynman_I_32_5,0.01,Feynman,0.0,0.0,0.03345861472114864,0.0011188527498192324
AFP,feynman_I_34_1,0.0,Feynman,0.0,0.0,0.0803461641428317,0.006434758555708659
AFP,feynman_I_34_1,0.001,Feynman,12.5,0.0,0.06757469630404747,0.004555945481979369
AFP,feynman_I_34_1,0.01,Feynman,12.5,0.0,0.1746130366974091,0.030034138362778566
AFP,feynman_I_34_14,0.0,Feynman,0.0,1.0,0.03258364172008393,0.001061130509572307
AFP,feynman_I_34_14,0.001,Feynman,0.0,1.0,0.04015789350053964,0.0016113574763536797
AFP,feynman_I_34_14,0.01,Feynman,0.0,0.0,0.171749130322734,0.029071075328530465
AFP,feynman_I_34_27,0.0,Feynman,100.0,1.0,0.00041663016306723124,1.7358067764321495e-07
AFP,feynman_I_34_27,0.001,Feynman,75.0,1.0,0.003679367570639698,1.3537654085319049e-05
AFP,feynman_I_34_27,0.01,Feynman,50.0,0.0,0.03751473082987634,0.0014063656333277582
AFP,feynman_I_34_8,0.0,Feynman,62.5,1.0,4.0371652778282156e-15,0.0
AFP,feynman_I_34_8,0.001,Feynman,50.0,1.0,0.004463020226779091,1.9918351172965874e-05
AFP,feynman_I_34_8,0.01,Feynman,37.5,0.5,0.28810482407007726,0.07973902124466523
AFP,feynman_I_37_4,0.0,Feynman,0.0,0.0,0.387805848740968,0.14010395024701813
AFP,feynman_I_37_4,0.001,Feynman,0.0,0.0,0.29815854332061975,0.08516665040281407
AFP,feynman_I_37_4,0.01,Feynman,0.0,0.0,0.34887056321933496,0.11485490386501918
AFP,feynman_I_38_12,0.0,Feynman,0.0,0.0,0.1117533713747611,0.012411474025081646
AFP,feynman_I_38_12,0.001,Feynman,12.5,0.5,0.09008622878319704,0.008082774804352953
AFP,feynman_I_38_12,0.01,Feynman,12.5,0.0,0.07867885991124596,0.006171281407404174
AFP,feynman_I_39_1,0.0,Feynman,75.0,1.0,0.00044783128022895375,2.0055283554517872e-07
AFP,feynman_I_39_1,0.001,Feynman,62.5,1.0,0.0361391296612162,0.0013051845686051346
AFP,feynman_I_39_1,0.01,Feynman,0.0,0.0,0.5830168772870279,0.2926014617908996
AFP,feynman_I_39_11,0.0,Feynman,12.5,1.0,0.028768388039064268,0.0008272778616531072
AFP,feynman_I_39_11,0.001,Feynman,12.5,1.0,0.02545741559719111,0.0006478700957279885
AFP,feynman_I_39_11,0.01,Feynman,0.0,0.0,0.1368026731369199,0.01854200105777693
AFP,feynman_I_39_22,0.0,Feynman,75.0,1.0,4.064149436524739e-15,0.0
AFP,feynman_I_39_22,0.001,Feynman,62.5,1.0,4.059057619031924e-15,0.0
AFP,feynman_I_39_22,0.01,Feynman,37.5,0.5,0.2748911961802016,0.07284626271773256
AFP,feynman_I_40_1,0.0,Feynman,0.0,0.0,0.19697626476073987,0.03806586280013539
AFP,feynman_I_40_1,0.001,Feynman,0.0,0.0,0.18524388501826805,0.03373965894386617
AFP,feynman_I_40_1,0.01,Feynman,12.5,0.0,0.20261569340279142,0.04023281543290908
AFP,feynman_I_41_16,0.0,Feynman,0.0,0.0,0.2639248308545227,0.06733739719739022
AFP,feynman_I_41_16,0.001,Feynman,0.0,0.0,0.21630164157316115,0.04572489975457588
AFP,feynman_I_41_16,0.01,Feynman,0.0,0.0,0.31156079358481426,0.09264310641410459
AFP,feynman_I_43_16,0.0,Feynman,50.0,1.0,4.088562991591766e-15,0.0
AFP,feynman_I_43_16,0.001,Feynman,25.0,1.0,0.020494908196605946,0.00041995306935186104
AFP,feynman_I_43_16,0.01,Feynman,62.5,1.0,4.0627616787451095e-15,0.0
AFP,feynman_I_43_31,0.0,Feynman,75.0,1.0,8.477300106663242e-15,0.0
AFP,feynman_I_43_31,0.001,Feynman,25.0,1.0,0.09283189361154881,0.008580839539265712
AFP,feynman_I_43_31,0.01,Feynman,0.0,0.0,1.0868003491671185,0.7798453830342005
AFP,feynman_I_43_43,0.0,Feynman,0.0,0.5,0.07131500366186927,0.005072940598057552
AFP,feynman_I_43_43,0.001,Feynman,0.0,0.5,0.05206244915846413,0.002706831835381931
AFP,feynman_I_43_43,0.01,Feynman,0.0,0.0,0.06446634835053122,0.004147298127458156
AFP,feynman_I_44_4,0.0,Feynman,0.0,0.0,3.4357156405959426,2.5497687094434953
AFP,feynman_I_44_4,0.001,Feynman,0.0,0.0,3.9367038320611063,2.803217162249087
AFP,feynman_I_44_4,0.01,Feynman,0.0,0.0,3.609981927634958,2.641338263296439
AFP,feynman_I_47_23,0.0,Feynman,62.5,1.0,3.354434651828356e-16,0.0
AFP,feynman_I_47_23,0.001,Feynman,25.0,1.0,0.004203069693932663,1.7665638813756905e-05
AFP,feynman_I_47_23,0.01,Feynman,12.5,0.0,0.06834353190408084,0.0046599638365886825
AFP,feynman_I_48_2,0.0,Feynman,0.0,1.0,0.30420056774095816,0.08850341664076533
AFP,feynman_I_48_2,0.001,Feynman,0.0,1.0,0.5801661651609846,0.29012367371423875
AFP,feynman_I_48_2,0.01,Feynman,0.0,0.0,5.7827013339097855,3.539208073150263
AFP,feynman_I_50_26,0.0,Feynman,0.0,0.0,0.5247276392107278,0.24321210038861885
AFP,feynman_I_50_26,0.001,Feynman,0.0,0.0,0.480646099579166,0.2078436407580266
AFP,feynman_I_50_26,0.01,Feynman,0.0,0.0,0.5056530105964082,0.227681214232281
AFP,feynman_I_6_2,0.0,Feynman,0.0,0.0,0.005054247767809909,2.5545094219787456e-05
AFP,feynman_I_6_2,0.001,Feynman,0.0,0.0,0.0059792002751925255,3.575019688486614e-05
AFP,feynman_I_6_2,0.01,Feynman,0.0,0.0,0.008131820036660138,6.612431084825659e-05
