,name,nsamples,nfeatures,npoints,Group
49,feynman_I_24_6,100000,5,500000,feynman
50,hungarian,294,14,4116,black-box
51,crx,690,16,11040,black-box
52,611_fri_c3_100_5,100,6,600,black-box
53,598_fri_c0_1000_25,1000,26,26000,black-box
54,feynman_test_16,100000,7,700000,feynman
55,feynman_test_11,100000,5,500000,feynman
56,229_pwLinear,200,11,2200,black-box
57,horse_colic,368,23,8464,black-box
58,feynman_II_13_34,100000,4,400000,feynman
59,analcatdata_bankruptcy,50,7,350,black-box
60,feynman_II_24_17,100000,4,400000,feynman
61,678_visualizing_environmental,111,4,444,black-box
62,glass,205,10,2050,black-box
63,adult,48842,15,732630,black-box
64,635_fri_c0_250_10,250,11,2750,black-box
65,595_fri_c0_1000_10,1000,11,11000,black-box
66,591_fri_c1_100_10,100,11,1100,black-box
67,651_fri_c0_100_25,100,26,2600,black-box
68,chess,3196,37,118252,black-box
69,spectf,349,45,15705,black-box
70,feynman_I_12_4,100000,4,400000,feynman
71,feynman_I_34_14,100000,4,400000,feynman
72,bupa,345,6,2070,black-box
73,646_fri_c3_500_10,500,11,5500,black-box
74,feynman_I_13_4,100000,5,500000,feynman
75,feynman_I_32_17,100000,7,700000,feynman
76,feynman_I_34_1,100000,4,400000,feynman
77,feynman_III_10_19,100000,5,500000,feynman
78,feynman_I_12_5,100000,3,300000,feynman
79,strogatz_predprey2,400,3,1200,strogatz
80,608_fri_c3_1000_10,1000,11,11000,black-box
81,wine_quality_white,4898,12,58776,black-box
82,flare,1066,11,11726,black-box
83,1089_USCrime,47,14,658,black-box
84,557_analcatdata_apnea1,475,4,1900,black-box
85,mushroom,8124,23,186852,black-box
86,feynman_I_15_3x,100000,5,500000,feynman
87,feynman_test_7,100000,6,600000,feynman
88,feynman_II_13_17,100000,5,500000,feynman
89,mfeat_pixel,2000,241,482000,black-box
90,cars,392,9,3528,black-box
91,allrep,3772,30,113160,black-box
92,led7,3200,8,25600,black-box
93,feynman_III_14_14,100000,6,600000,feynman
94,645_fri_c3_500_50,500,51,25500,black-box
95,xd6,973,10,9730,black-box
96,GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,1600,21,33600,black-box
97,feynman_I_10_7,100000,4,400000,feynman
98,dna,3186,181,576666,black-box
99,waveform_21,5000,22,110000,black-box
100,shuttle,58000,10,580000,black-box
101,feynman_test_10,100000,4,400000,feynman
102,225_puma8NH,8192,9,73728,black-box
103,feynman_II_15_5,100000,4,400000,feynman
104,560_bodyfat,252,15,3780,black-box
105,mfeat_fourier,2000,77,154000,black-box
106,feynman_I_14_4,100000,3,300000,feynman
107,feynman_II_6_11,100000,5,500000,feynman
108,monk1,556,7,3892,black-box
109,1196_BNG_pharynx,1000000,11,11000000,black-box
110,calendarDOW,399,33,13167,black-box
111,letter,20000,17,340000,black-box
112,strogatz_barmag1,400,3,1200,strogatz
113,feynman_II_34_29b,100000,6,600000,feynman
114,wine_recognition,178,14,2492,black-box
115,feynman_III_8_54,100000,4,400000,feynman
116,579_fri_c0_250_5,250,6,1500,black-box
117,612_fri_c1_1000_5,1000,6,6000,black-box
118,titanic,2201,4,8804,black-box
119,215_2dplanes,40768,11,448448,black-box
120,feynman_II_8_31,100000,3,300000,feynman
121,feynman_I_34_8,100000,5,500000,feynman
122,feynman_I_47_23,100000,4,400000,feynman
123,twonorm,7400,21,155400,black-box
124,allhypo,3770,30,113100,black-box
125,feynman_II_34_2a,100000,4,400000,feynman
126,analcatdata_japansolvent,52,10,520,black-box
127,cmc,1473,10,14730,black-box
128,feynman_II_10_9,100000,4,400000,feynman
129,feynman_II_11_28,100000,3,300000,feynman
130,feynman_test_3,100000,5,500000,feynman
131,feynman_I_15_10,100000,4,400000,feynman
132,feynman_I_26_2,100000,3,300000,feynman
133,german,1000,21,21000,black-box
134,feynman_I_34_27,100000,3,300000,feynman
135,1191_BNG_pbc,1000000,19,19000000,black-box
136,feynman_test_4,100000,6,600000,feynman
137,574_house_16H,22784,17,387328,black-box
138,appendicitis,106,8,848,black-box
139,197_cpu_act,8192,22,180224,black-box
140,1029_LEV,1000,5,5000,black-box
141,analcatdata_boxing2,132,4,528,black-box
142,659_sleuth_ex1714,47,8,376,black-box
143,feynman_test_13,100000,6,600000,feynman
144,lupus,87,4,348,black-box
145,confidence,72,4,288,black-box
146,582_fri_c1_500_25,500,26,13000,black-box
147,cleveland_nominal,303,8,2424,black-box
148,feynman_II_35_21,100000,6,600000,feynman
149,feynman_II_27_16,100000,4,400000,feynman
150,feynman_III_4_33,100000,5,500000,feynman
151,feynman_I_9_18,100000,10,1000000,feynman
152,satimage,6435,37,238095,black-box
153,vowel,990,14,13860,black-box
154,294_satellite_image,6435,37,238095,black-box
155,haberman,306,4,1224,black-box
156,feynman_II_21_32,100000,6,600000,feynman
157,churn,5000,21,105000,black-box
158,dermatology,366,35,12810,black-box
159,607_fri_c4_1000_50,1000,51,51000,black-box
160,strogatz_vdp1,400,3,1200,strogatz
161,car,1728,7,12096,black-box
162,feynman_I_50_26,100000,5,500000,feynman
163,feynman_I_30_3,100000,4,400000,feynman
164,labor,57,17,969,black-box
165,feynman_III_9_52,100000,7,700000,feynman
166,mfeat_morphological,2000,7,14000,black-box
167,pima,768,9,6912,black-box
168,schizo,340,15,5100,black-box
169,iris,150,5,750,black-box
170,feynman_II_6_15b,100000,5,500000,feynman
171,1027_ESL,488,5,2440,black-box
172,623_fri_c4_1000_10,1000,11,11000,black-box
173,balance_scale,625,5,3125,black-box
174,590_fri_c0_1000_50,1000,51,51000,black-box
175,feynman_III_15_12,100000,4,400000,feynman
176,feynman_I_44_4,100000,6,600000,feynman
177,feynman_III_4_32,100000,5,500000,feynman
178,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,1600,1001,1601600,black-box
179,626_fri_c2_500_50,500,51,25500,black-box
180,218_house_8L,22784,9,205056,black-box
181,210_cloud,108,6,648,black-box
182,flags,178,44,7832,black-box
183,feynman_test_6,100000,8,800000,feynman
184,credit_g,1000,21,21000,black-box
185,192_vineyard,52,3,156,black-box
186,strogatz_glider1,400,3,1200,strogatz
187,mux6,128,7,896,black-box
188,breast,699,11,7689,black-box
189,feynman_I_12_2,100000,5,500000,feynman
190,clean2,6598,169,1115062,black-box
191,654_fri_c0_500_10,500,11,5500,black-box
192,643_fri_c2_500_25,500,26,13000,black-box
193,analcatdata_lawsuit,264,5,1320,black-box
194,analcatdata_aids,50,5,250,black-box
195,diabetes,768,9,6912,black-box
196,feynman_I_27_6,100000,4,400000,feynman
197,feynman_II_36_38,100000,9,900000,feynman
198,irish,500,6,3000,black-box
199,feynman_I_15_3t,100000,5,500000,feynman
200,542_pollution,60,16,960,black-box
201,hepatitis,155,20,3100,black-box
202,cleveland,303,14,4242,black-box
203,strogatz_bacres1,400,3,1200,strogatz
204,feynman_test_18,100000,6,600000,feynman
205,heart_h,294,14,4116,black-box
206,led24,3200,25,80000,black-box
207,threeOf9,512,10,5120,black-box
208,feynman_test_14,100000,6,600000,feynman
209,prnn_crabs,200,8,1600,black-box
210,feynman_I_37_4,100000,4,400000,feynman
211,706_sleuth_case1202,93,7,651,black-box
212,analcatdata_dmft,797,5,3985,black-box
213,breast_cancer,286,10,2860,black-box
214,strogatz_vdp2,400,3,1200,strogatz
215,analcatdata_cyyoung8092,97,11,1067,black-box
216,556_analcatdata_apnea2,475,4,1900,black-box
217,feynman_II_27_18,100000,3,300000,feynman
218,581_fri_c3_500_25,500,26,13000,black-box
219,feynman_I_6_2b,100000,4,400000,feynman
220,credit_a,690,16,11040,black-box
221,650_fri_c0_500_50,500,51,25500,black-box
222,strogatz_lv2,400,3,1200,strogatz
223,molecular_biology_promoters,106,58,6148,black-box
224,666_rmftsa_ladata,508,11,5588,black-box
225,magic,19020,11,209220,black-box
226,658_fri_c3_250_25,250,26,6500,black-box
227,562_cpu_small,8192,13,106496,black-box
228,547_no2,500,8,4000,black-box
229,feynman_I_32_5,100000,5,500000,feynman
230,contraceptive,1473,10,14730,black-box
231,feynman_I_6_2,100000,3,300000,feynman
232,australian,690,15,10350,black-box
233,postoperative_patient_data,88,9,792,black-box
234,krkopt,28056,7,196392,black-box
235,485_analcatdata_vehicle,48,5,240,black-box
236,feynman_II_38_3,100000,5,500000,feynman
237,519_vinnie,380,3,1140,black-box
238,ecoli,327,8,2616,black-box
239,poker,1025010,11,11275110,black-box
240,ring,7400,21,155400,black-box
241,monk3,554,7,3878,black-box
242,523_analcatdata_neavote,100,3,300,black-box
243,feynman_test_20,100000,8,800000,feynman
244,breast_w,699,10,6990,black-box
245,feynman_test_2,100000,7,700000,feynman
246,feynman_I_18_4,100000,5,500000,feynman
247,feynman_I_29_4,100000,3,300000,feynman
248,feynman_II_34_29a,100000,4,400000,feynman
249,690_visualizing_galaxy,323,5,1615,black-box
250,feynman_test_19,100000,7,700000,feynman
251,nursery,12958,9,116622,black-box
252,505_tecator,240,125,30000,black-box
253,227_cpu_small,8192,13,106496,black-box
254,604_fri_c4_500_10,500,11,5500,black-box
255,feynman_I_38_12,100000,5,500000,feynman
256,594_fri_c2_100_5,100,6,600,black-box
257,599_fri_c2_1000_5,1000,6,6000,black-box
258,588_fri_c4_1000_100,1000,101,101000,black-box
259,230_machine_cpu,209,7,1463,black-box
260,631_fri_c1_500_5,500,6,3000,black-box
261,feynman_I_39_22,100000,5,500000,feynman
262,analcatdata_cyyoung9302,92,11,1012,black-box
263,GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,1600,21,33600,black-box
264,613_fri_c3_250_5,250,6,1500,black-box
265,spambase,4601,58,266858,black-box
266,mfeat_zernike,2000,48,96000,black-box
267,663_rabe_266,120,3,360,black-box
268,596_fri_c2_250_5,250,6,1500,black-box
269,mofn_3_7_10,1324,11,14564,black-box
270,pendigits,10992,17,186864,black-box
271,GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,1600,21,33600,black-box
272,analcatdata_fraud,42,12,504,black-box
273,allbp,3772,30,113160,black-box
274,solar_flare_1,315,13,4095,black-box
275,feynman_test_17,100000,7,700000,feynman
276,feynman_I_25_13,100000,3,300000,feynman
277,wdbc,569,31,17639,black-box
278,feynman_I_12_11,100000,6,600000,feynman
279,4544_GeographicalOriginalofMusic,1059,118,124962,black-box
280,glass2,163,10,1630,black-box
281,637_fri_c1_500_50,500,51,25500,black-box
282,feynman_I_12_1,100000,3,300000,feynman
283,1201_BNG_breastTumor,116640,10,1166400,black-box
284,601_fri_c1_250_5,250,6,1500,black-box
285,657_fri_c2_250_10,250,11,2750,black-box
286,653_fri_c0_250_25,250,26,6500,black-box
287,new_thyroid,215,6,1290,black-box
288,602_fri_c3_250_10,250,11,2750,black-box
289,695_chatfield_4,235,13,3055,black-box
290,tokyo1,959,45,43155,black-box
291,634_fri_c2_100_10,100,11,1100,black-box
292,615_fri_c4_250_10,250,11,2750,black-box
293,606_fri_c2_1000_10,1000,11,11000,black-box
294,feynman_I_43_16,100000,5,500000,feynman
295,597_fri_c2_500_5,500,6,3000,black-box
296,584_fri_c4_500_25,500,26,13000,black-box
297,heart_c,303,14,4242,black-box
298,feynman_II_11_3,100000,6,600000,feynman
299,622_fri_c2_1000_50,1000,51,51000,black-box
300,backache,180,33,5940,black-box
301,feynman_III_17_37,100000,4,400000,feynman
302,house_votes_84,435,17,7395,black-box
303,analcatdata_happiness,60,4,240,black-box
304,lymphography,148,19,2812,black-box
305,1096_FacultySalaries,50,5,250,black-box
306,feynman_III_15_27,100000,4,400000,feynman
307,segmentation,2310,20,46200,black-box
308,618_fri_c3_1000_50,1000,51,51000,black-box
309,analcatdata_creditscore,100,7,700,black-box
310,analcatdata_authorship,841,71,59711,black-box
311,sonar,208,61,12688,black-box
312,breast_cancer_wisconsin,569,31,17639,black-box
313,Hill_Valley_without_noise,1212,101,122412,black-box
314,feynman_I_18_14,100000,5,500000,feynman
315,ann_thyroid,7200,22,158400,black-box
316,564_fried,40768,11,448448,black-box
317,529_pollen,3848,5,19240,black-box
318,GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,1600,21,33600,black-box
319,tae,151,6,906,black-box
320,strogatz_glider2,400,3,1200,strogatz
321,feynman_II_11_20,100000,6,600000,feynman
322,feynman_I_39_11,100000,4,400000,feynman
323,feynman_I_41_16,100000,6,600000,feynman
324,537_houses,20640,9,185760,black-box
325,527_analcatdata_election2000,67,15,1005,black-box
326,573_cpu_act,8192,22,180224,black-box
327,waveform_40,5000,41,205000,black-box
328,feynman_II_3_24,100000,3,300000,feynman
329,solar_flare_2,1066,13,13858,black-box
330,feynman_II_35_18,100000,6,600000,feynman
331,feynman_I_8_14,100000,5,500000,feynman
332,parity5,32,6,192,black-box
333,feynman_III_15_14,100000,4,400000,feynman
334,car_evaluation,1728,22,38016,black-box
335,ionosphere,351,35,12285,black-box
336,628_fri_c3_1000_5,1000,6,6000,black-box
337,503_wind,6574,15,98610,black-box
338,feynman_I_18_12,100000,4,400000,feynman
339,665_sleuth_case2002,147,7,1029,black-box
340,cleve,303,14,4242,black-box
341,201_pol,15000,49,735000,black-box
342,feynman_test_1,100000,8,800000,feynman
343,feynman_I_48_2,100000,4,400000,feynman
344,banana,5300,3,15900,black-box
345,kddcup,494020,42,20748840,black-box
346,feynman_test_9,100000,6,600000,feynman
347,spect,267,23,6141,black-box
348,corral,160,7,1120,black-box
349,195_auto_price,159,16,2544,black-box
350,feynman_I_43_31,100000,4,400000,feynman
351,1030_ERA,1000,5,5000,black-box
352,feynman_II_13_23,100000,4,400000,feynman
353,1203_BNG_pwLinear,177147,11,1948617,black-box
354,allhyper,3771,30,113130,black-box
355,522_pm10,500,8,4000,black-box
356,profb,672,10,6720,black-box
357,feynman_II_2_42,100000,6,600000,feynman
358,207_autoPrice,159,16,2544,black-box
359,tic_tac_toe,958,10,9580,black-box
360,647_fri_c1_250_10,250,11,2750,black-box
361,hayes_roth,160,5,800,black-box
362,648_fri_c1_250_50,250,51,12750,black-box
363,687_sleuth_ex1605,62,6,372,black-box
364,feynman_II_11_27,100000,5,500000,feynman
365,586_fri_c3_1000_25,1000,26,26000,black-box
366,kr_vs_kp,3196,37,118252,black-box
367,wine_quality_red,1599,12,19188,black-box
368,feynman_test_15,100000,5,500000,feynman
369,624_fri_c0_100_5,100,6,600,black-box
370,feynman_III_7_38,100000,4,400000,feynman
371,feynman_I_39_1,100000,3,300000,feynman
372,heart_statlog,270,14,3780,black-box
373,sleep,105908,14,1482712,black-box
374,analcatdata_germangss,400,6,2400,black-box
375,603_fri_c0_250_50,250,51,12750,black-box
376,feynman_I_30_5,100000,4,400000,feynman
377,617_fri_c3_500_5,500,6,3000,black-box
378,mnist,70000,785,54950000,black-box
379,656_fri_c1_100_5,100,6,600,black-box
380,monk2,601,7,4207,black-box
381,optdigits,5620,65,365300,black-box
382,feynman_test_12,100000,6,600000,feynman
383,feynman_II_34_2,100000,4,400000,feynman
384,feynman_II_34_11,100000,5,500000,feynman
385,parity5+5,1124,11,12364,black-box
386,583_fri_c1_1000_50,1000,51,51000,black-box
387,soybean,675,36,24300,black-box
388,fars,100968,30,3029040,black-box
389,649_fri_c0_500_5,500,6,3000,black-box
390,hypothyroid,3163,26,82238,black-box
391,feynman_II_38_14,100000,3,300000,feynman
392,GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,1600,21,33600,black-box
393,feynman_II_8_7,100000,4,400000,feynman
394,627_fri_c2_500_10,500,11,5500,black-box
395,1193_BNG_lowbwt,31104,10,311040,black-box
396,auto,202,26,5252,black-box
397,strogatz_shearflow2,400,3,1200,strogatz
398,605_fri_c2_250_25,250,26,6500,black-box
399,mfeat_factors,2000,217,434000,black-box
400,agaricus_lepiota,8145,23,187335,black-box
401,644_fri_c4_250_25,250,26,6500,black-box
402,feynman_I_43_43,100000,5,500000,feynman
403,feynman_III_13_18,100000,5,500000,feynman
404,vehicle,846,19,16074,black-box
405,dis,3772,30,113160,black-box
406,prnn_fglass,205,10,2050,black-box
407,feynman_I_40_1,100000,7,700000,feynman
408,saheart,462,10,4620,black-box
409,feynman_II_6_15a,100000,7,700000,feynman
410,texture,5500,41,225500,black-box
411,feynman_III_12_43,100000,3,300000,feynman
412,609_fri_c0_1000_5,1000,6,6000,black-box
413,colic,368,23,8464,black-box
414,616_fri_c4_500_50,500,51,25500,black-box
415,clean1,476,169,80444,black-box
416,cloud,108,8,864,black-box
