,algorithm,dataset,random_state,training time (s),model_size,mse_test,mae_test,r2_test,training time (hr),r2_zero_test,friedman_dataset,algorithm_count,rmse_test,log_mse_test,name,nsamples,nfeatures,npoints,Group
10,*ITEA,1027_ESL,13879.5,3477.131894350052,45.5,0.28542768499276777,0.40185822522657233,0.8577413762854735,0.9658699706527922,0.8577413762854735,False,21.0,0.5342543261338815,0.25109149176011475,1027_ESL,488,5,2440,black-box
11,KernelRidge,1027_ESL,13879.5,1.1618573665618896,366.0,0.26051546284804117,0.3915343110770269,0.8725517487746204,0.0003227381573783027,0.8725517487746204,False,21.0,0.5104071539937907,0.23152073480426558,1027_ESL,488,5,2440,black-box
12,LGBM,1027_ESL,13879.5,19.733394742012024,5312.5,0.31223024548843814,0.4231727218472627,0.8464156869778777,0.005481498539447785,0.8464156869778777,False,21.0,0.5587756665142445,0.2717281671131184,1027_ESL,488,5,2440,black-box
13,Linear,1027_ESL,13879.5,0.1780639886856079,4.0,0.263599221697839,0.3934155800821324,0.8719017434367774,4.946221907933553e-05,0.8719017434367774,False,21.0,0.513419148160486,0.23396417400530495,1027_ESL,488,5,2440,black-box
14,MLP,1027_ESL,13879.5,11.559931516647339,1202.0,0.2677274303677626,0.39694994509499765,0.8720790640804412,0.003211092087957594,0.8720790640804412,False,21.0,0.5174238401617793,0.2372258726299724,1027_ESL,488,5,2440,black-box
15,*MRGP,1027_ESL,13879.5,295994.1642472744,7711.5,1.3986344113548266,0.5964940453763066,0.33767187727772563,82.22060117979845,0.33767187727772563,False,21.0,1.1826387493037875,0.8748995801458384,1027_ESL,488,5,2440,black-box
16,*Operon,1027_ESL,13879.5,515.7132332324982,49.5,0.2921352320984214,0.413104234293836,0.8576746612098946,0.14325367589791616,0.8576746612098946,False,21.0,0.5404953580729639,0.25629606868984045,1027_ESL,488,5,2440,black-box
17,RandomForest,1027_ESL,13879.5,83.0759893655777,21441.0,0.37244171510032076,0.4293701597815486,0.8258326161770285,0.02307666371266047,0.8258326161770285,False,21.0,0.6102800300684275,0.31659142727055833,1027_ESL,488,5,2440,black-box
18,*SBP-GP,1027_ESL,13879.5,133749.78897500038,232.0,0.2904110677733967,0.403231204667035,0.854050711902448,37.152719159722324,0.854050711902448,False,21.0,0.5388980124043851,0.2549608248018415,1027_ESL,488,5,2440,black-box
19,XGB,1027_ESL,13879.5,172.3940542936325,10283.0,0.2851287408748866,0.3892611743973904,0.857322694800289,0.04788723730378681,0.857322694800289,False,21.0,0.5339744758646116,0.2508589007800292,1027_ESL,488,5,2440,black-box
20,*gplearn,1027_ESL,13879.5,21821.91654574871,10.5,0.3838652462612354,0.4684904573613272,0.8154125949345128,6.0616434849301974,0.8154125949345128,False,21.0,0.6195685968972567,0.32488048703697536,1027_ESL,488,5,2440,black-box
21,*AFP,1028_SWD,13879.5,3017.658321261406,47.0,0.4380229925665412,0.5384194081452502,0.31451651823485344,0.8382384225726127,0.31451651823485344,False,21.0,0.6618330549062514,0.3632692484384418,1028_SWD,1000,11,11000,black-box
22,*AFP_FE,1028_SWD,13879.5,2809.506318926811,34.0,0.42932742291377324,0.5228338440957525,0.3246695832539753,0.7804184219241143,0.3246695832539753,False,21.0,0.6552308165171822,0.35720400000353,1028_SWD,1000,11,11000,black-box
23,*AIFeynman,1028_SWD,13879.5,9744.098350048065,1.0,0.6520000000000787,0.6040000000001133,-0.06360203423075006,2.7066939861244625,0.0,False,21.0,0.8074651695275027,0.501986675098834,1028_SWD,1000,11,11000,black-box
24,AdaBoost,1028_SWD,13879.5,19.974393010139465,9060.0,0.4002784849677572,0.5109879043481946,0.353544159635896,0.005548442502816518,0.353544159635896,False,21.0,0.6326756554252402,0.33667113467379606,1028_SWD,1000,11,11000,black-box
25,*BSR,1028_SWD,13879.5,52189.473858356476,13.0,0.5438839497185897,0.6058567616005262,0.11044010090367823,14.497076071765687,0.11044010090367823,False,21.0,0.7374848810101734,0.4343012866784133,1028_SWD,1000,11,11000,black-box
26,*DSR,1028_SWD,13879.5,29717.095916628838,6.0,0.4989807267566223,0.5776064256568187,0.207536204258623,8.254748865730232,0.207536204258623,False,21.0,0.7063856784764413,0.40478536163728485,1028_SWD,1000,11,11000,black-box
27,*EPLEX,1028_SWD,13879.5,6462.212345480919,47.5,0.4122919905324911,0.5246106417573722,0.3248578902826966,1.7950589848558107,0.3248578902826966,False,21.0,0.6420996733627039,0.3452139098543194,1028_SWD,1000,11,11000,black-box
28,*FEAT,1028_SWD,13879.5,4108.255071520805,31.5,0.41523898314594654,0.5266425165112876,0.3054895217201383,1.1411819643113348,0.3054895217201383,False,21.0,0.6443903965345438,0.3472984095170851,1028_SWD,1000,11,11000,black-box
29,*FFX,1028_SWD,13879.5,99.84806072711945,1397.5,0.41581216029457424,0.5095016387358974,0.3521301649507238,0.027735572424199845,0.3521301649507238,False,21.0,0.6448349868722806,0.3477033313128553,1028_SWD,1000,11,11000,black-box
30,*GP-GOMEA,1028_SWD,13879.5,3591.716040253639,31.0,0.40209976330744746,0.5148694700064824,0.3537113888592941,0.9976989000704554,0.3537113888592941,False,21.0,0.6341133678668567,0.33797094393204496,1028_SWD,1000,11,11000,black-box
31,*ITEA,1028_SWD,13879.5,5992.248944401741,120.0,0.40782221216062947,0.5052430664770098,0.3592847509332494,1.6645135956671502,0.3592847509332494,False,21.0,0.6386095929130954,0.34204397999087155,1028_SWD,1000,11,11000,black-box
32,KernelRidge,1028_SWD,13879.5,1.8667336702346802,750.0,0.38644053383868815,0.4980808124703824,0.3759191642823341,0.0005185371306207445,0.3759191642823341,False,21.0,0.6216434137338609,0.32673969574799616,1028_SWD,1000,11,11000,black-box
33,LGBM,1028_SWD,13879.5,20.332401514053345,11887.5,0.39935844695883604,0.5001948495607093,0.3617411507144327,0.005647889309459263,0.3617411507144327,False,21.0,0.6319481362887591,0.33601387941933836,1028_SWD,1000,11,11000,black-box
34,Linear,1028_SWD,13879.5,0.19887828826904297,10.0,0.3967712846841075,0.5109573751383679,0.35921108431999726,5.524396896362305e-05,0.35921108431999726,False,21.0,0.6298978367037844,0.3341633479624074,1028_SWD,1000,11,11000,black-box
35,MLP,1028_SWD,13879.5,17.008740544319153,2402.0,0.39439249207621746,0.5070999353792044,0.3571869693370613,0.004724650151199765,0.3571869693370613,False,21.0,0.6280067611707835,0.3324588308691164,1028_SWD,1000,11,11000,black-box
36,*MRGP,1028_SWD,13879.5,298388.19439947605,852.0,0.4330039631080078,0.5080034024272516,0.3107401724973682,82.88560955541001,0.3107401724973682,False,21.0,0.6580303664026516,0.35977291444444903,1028_SWD,1000,11,11000,black-box
37,*Operon,1028_SWD,13879.5,926.0648783445358,50.0,0.4038596461890198,0.5058870601654053,0.3532544177316699,0.2572402439845933,0.3532544177316699,False,21.0,0.6354995249321748,0.3392253335047379,1028_SWD,1000,11,11000,black-box
38,RandomForest,1028_SWD,13879.5,88.93204855918884,121583.0,0.4321634707884896,0.5097296643507617,0.3085082434563272,0.024703346821996902,0.3085082434563272,False,21.0,0.6573914136863134,0.35918621760175584,1028_SWD,1000,11,11000,black-box
39,*SBP-GP,1028_SWD,13879.5,216999.435451746,173.0,0.4149506994640485,0.5201039206065851,0.3291886369914807,60.27762095881833,0.3291886369914807,False,21.0,0.6441666705628665,0.34709468912006286,1028_SWD,1000,11,11000,black-box
40,XGB,1028_SWD,13879.5,190.11027717590332,4574.0,0.40377688326010036,0.5099190468788147,0.3479270950205696,0.05280841032663981,0.3479270950205696,False,21.0,0.6354344051592582,0.33916637791837523,1028_SWD,1000,11,11000,black-box
41,*gplearn,1028_SWD,13879.5,22439.421666026115,11.0,0.48354259122780296,0.5282672646433111,0.2342417907811295,6.233172685007254,0.2342417907811295,False,21.0,0.6953722680894048,0.394432870298061,1028_SWD,1000,11,11000,black-box
42,*AFP,1029_LEV,13879.5,2622.2061932086945,23.5,0.43312357311891003,0.5088173085740799,0.5219042193505663,0.7283906092246373,0.5219042193505663,False,21.0,0.658121244998906,0.3598563789863857,1029_LEV,1000,5,5000,black-box
43,*AFP_FE,1029_LEV,13879.5,2668.386499404907,38.5,0.40936171710762703,0.4926928702488518,0.5582643472500892,0.7412184720569186,0.5582643472500892,False,21.0,0.6398138144082441,0.3431369189958477,1029_LEV,1000,5,5000,black-box
44,*AIFeynman,1029_LEV,13879.5,6689.84159719944,1.0,0.9539999999512491,0.7120000000000217,-0.04202504812255492,1.8582893325554,0.0,False,21.0,0.9767292357410262,0.6698785535956416,1029_LEV,1000,5,5000,black-box
45,AdaBoost,1029_LEV,13879.5,19.592815041542053,1500.0,0.4921250826905047,0.5643656602349201,0.47867106319498326,0.005442448622650571,0.47867106319498326,False,21.0,0.7015162740026097,0.40020133385101125,1029_LEV,1000,5,5000,black-box
46,*BSR,1029_LEV,13879.5,7200.0070104599,18.5,0.5288906217663448,0.5672935166499666,0.44171054143344657,2.000001947349972,0.44171054143344657,False,21.0,0.7272486657026913,0.42454238859109045,1029_LEV,1000,5,5000,black-box
47,*DSR,1029_LEV,13879.5,31202.316893219948,9.0,0.5075693738667815,0.5536708159194395,0.4500987528552448,8.667310248116653,0.4500987528552448,False,21.0,0.712439031683962,0.410498667709132,1029_LEV,1000,5,5000,black-box
48,*EPLEX,1029_LEV,13879.5,6574.819919586182,42.5,0.4093243054828626,0.5012805753693781,0.5414058447269582,1.8263388665517173,0.5414058447269582,False,21.0,0.6397845774030995,0.3431103735598063,1029_LEV,1000,5,5000,black-box
49,*FEAT,1029_LEV,13879.5,3382.0875852108,23.5,0.40234073565656303,0.4901398718056176,0.5538775040035271,0.9394687736696667,0.5538775040035271,False,21.0,0.634303346717139,0.3381427945024511,1029_LEV,1000,5,5000,black-box
50,*FFX,1029_LEV,13879.5,37.06744658946991,400.5,0.4208800348079517,0.49488242287529527,0.5465240862989587,0.010296512941519419,0.5465240862989587,False,21.0,0.6487526761470442,0.35127642247439456,1029_LEV,1000,5,5000,black-box
51,*GP-GOMEA,1029_LEV,13879.5,6687.14107298851,24.0,0.40528783993382284,0.48781190053430334,0.5557111533549928,1.8575391869412528,0.5557111533549928,False,21.0,0.6366222113104623,0.34024215008336967,1029_LEV,1000,5,5000,black-box
52,*ITEA,1029_LEV,13879.5,3836.589219212532,37.5,0.4300427660684043,0.5197067396231665,0.5347337711954973,1.0657192275590366,0.5347337711954973,False,21.0,0.6557764604409069,0.3577043501661717,1029_LEV,1000,5,5000,black-box
53,KernelRidge,1029_LEV,13879.5,1.9950475692749023,750.0,0.40839865933014274,0.49507874589288037,0.5527993735912411,0.0005541798803541395,0.5527993735912411,False,21.0,0.6390607634099771,0.34245335638843993,1029_LEV,1000,5,5000,black-box
54,LGBM,1029_LEV,13879.5,20.590149641036987,8272.5,0.4459490469397175,0.5098354411455377,0.509135035599414,0.005719486011399163,0.509135035599414,False,21.0,0.6677941650985859,0.3687658858679517,1029_LEV,1000,5,5000,black-box
55,Linear,1029_LEV,13879.5,0.20320093631744385,4.0,0.39972997864096554,0.4911622635184444,0.5544979432695396,5.644470453262329e-05,0.5544979432695396,False,21.0,0.6322420253676321,0.33627934561962947,1029_LEV,1000,5,5000,black-box
56,MLP,1029_LEV,13879.5,16.584404468536377,1202.0,0.40047594423898436,0.49354048756283536,0.5521545195340438,0.0046067790190378825,0.5521545195340438,False,21.0,0.6328316871325143,0.33681213901855067,1029_LEV,1000,5,5000,black-box
57,*MRGP,1029_LEV,13879.5,296496.5472968817,7880.0,0.43725997481798984,0.5143345098324419,0.5096484334389059,82.36015202691158,0.5096484334389059,False,21.0,0.661256360890381,0.3627385057079924,1029_LEV,1000,5,5000,black-box
58,*Operon,1029_LEV,13879.5,933.0587440729141,51.0,0.4121132190938869,0.49643441277742384,0.5467021204389362,0.25918298446469834,0.5467021204389362,False,21.0,0.6419604497894609,0.34508731935077985,1029_LEV,1000,5,5000,black-box
59,RandomForest,1029_LEV,13879.5,88.53413546085358,98129.0,0.47880540320230935,0.5188605659112409,0.462769137447203,0.02459281540579266,0.462769137447203,False,21.0,0.6919576599780577,0.3912346018485561,1029_LEV,1000,5,5000,black-box
60,*SBP-GP,1029_LEV,13879.5,209015.68665874004,216.5,0.424549077444038,0.49797704896373496,0.540985328607998,58.059912960761125,0.540985328607998,False,21.0,0.6515743069244198,0.3538553267625228,1029_LEV,1000,5,5000,black-box
61,XGB,1029_LEV,13879.5,144.22585725784302,6962.0,0.43089323966981613,0.5022841519117356,0.5271543302593852,0.040062738127178615,0.5271543302593852,False,21.0,0.6564245879534192,0.35829889238924706,1029_LEV,1000,5,5000,black-box
62,*gplearn,1029_LEV,13879.5,22750.969864845276,18.0,0.4185164359381584,0.49093366657398896,0.5396666709816367,6.3197138513459095,0.5396666709816367,False,21.0,0.6469284627670655,0.3496115620436028,1029_LEV,1000,5,5000,black-box
63,*AFP,1030_ERA,13879.5,3007.024176597595,36.5,2.496171231911468,1.2997459716841762,0.35871567187975906,0.835284493499332,0.35871567187975906,False,21.0,1.5799276033766447,1.251668435973549,1030_ERA,1000,5,5000,black-box
64,*AFP_FE,1030_ERA,13879.5,3073.7275836467743,30.5,2.4405771347784553,1.2689565282707433,0.3651016909352268,0.8538132176796596,0.3651016909352268,False,21.0,1.5622346605995066,1.235639229051126,1030_ERA,1000,5,5000,black-box
65,*AIFeynman,1030_ERA,13879.5,6975.595732092857,1.0,3.9919999999873603,1.622000000000093,-0.007698884664690153,1.937665481136905,0.0,False,21.0,1.997998998995585,1.6078366310645946,1030_ERA,1000,5,5000,black-box
66,AdaBoost,1030_ERA,13879.5,17.61319661140442,1407.5,2.4840985761021646,1.278237941368923,0.38019307629941496,0.004892554614279006,0.38019307629941496,False,21.0,1.5761023368113394,1.2482093525343543,1030_ERA,1000,5,5000,black-box
67,*BSR,1030_ERA,13879.5,115509.44638681412,13.0,3.168594573497178,1.469735941205656,0.20115464349716905,32.08595732967059,0.20115464349716905,False,21.0,1.780054654637654,1.4275789462679236,1030_ERA,1000,5,5000,black-box
68,*DSR,1030_ERA,13879.5,35824.95587229729,9.0,2.7440845965106155,1.3455799434032167,0.31037034078151665,9.95137663119369,0.31037034078151665,False,21.0,1.6565278737499758,1.3201771535819298,1030_ERA,1000,5,5000,black-box
69,*EPLEX,1030_ERA,13879.5,6200.550761342049,35.5,2.475714384688568,1.2686764073975572,0.36313740353121493,1.7223752114839024,0.36313740353121493,False,21.0,1.5734403022322037,1.2458000362160722,1030_ERA,1000,5,5000,black-box
70,*FEAT,1030_ERA,13879.5,3305.739296555519,15.5,2.4194833510445974,1.2690688871681155,0.36541261490821647,0.9182609157098665,0.36541261490821647,False,21.0,1.555468852482941,1.2294894727167291,1030_ERA,1000,5,5000,black-box
71,*FFX,1030_ERA,13879.5,48.443379163742065,646.5,2.4569551108753744,1.2519842735707827,0.3709332358378195,0.013456494212150574,0.3709332358378195,False,21.0,1.5674677383842306,1.2403881758610753,1030_ERA,1000,5,5000,black-box
72,*GP-GOMEA,1030_ERA,13879.5,4247.797280192375,27.0,2.465926418544939,1.2596101455983217,0.3909340964569885,1.1799436889423265,0.3909340964569885,False,21.0,1.5703268508641566,1.2429799615657395,1030_ERA,1000,5,5000,black-box
73,*ITEA,1030_ERA,13879.5,4511.377464532852,51.5,2.4555391272639624,1.2396437347361278,0.36975373596728967,1.2531604068146813,0.36975373596728967,False,21.0,1.5670159945782183,1.2399784876696829,1030_ERA,1000,5,5000,black-box
74,KernelRidge,1030_ERA,13879.5,2.047460913658142,750.0,2.402489851960815,1.2490039729509803,0.38457014993245126,0.0005687391426828172,0.38457014993245126,False,21.0,1.5499967264355157,1.2245074730146617,1030_ERA,1000,5,5000,black-box
75,LGBM,1030_ERA,13879.5,20.425113797187805,10708.5,2.5018302769363037,1.2707281876639511,0.35555503772260366,0.0056736427214410575,0.35555503772260366,False,21.0,1.5817175085761375,1.2532857680793625,1030_ERA,1000,5,5000,black-box
76,Linear,1030_ERA,13879.5,0.19221723079681396,4.0,2.4224927574006347,1.251680211040358,0.38000895202015117,5.339367522133721e-05,0.38000895202015117,False,21.0,1.556435914967473,1.2303691620060246,1030_ERA,1000,5,5000,black-box
77,MLP,1030_ERA,13879.5,16.35840630531311,1202.0,2.4165559139728714,1.2523218069141824,0.378649777862063,0.004544001751475864,0.378649777862063,False,21.0,1.5545275533012823,1.2286330009683422,1030_ERA,1000,5,5000,black-box
78,*MRGP,1030_ERA,13879.5,6530.46610045433,3944.0,2.454211714944794,1.2589059584793998,0.36993319784397294,1.8140183612373142,0.36993319784397294,False,21.0,1.5665923895336635,1.2395942734293113,1030_ERA,1000,5,5000,black-box
79,*Operon,1030_ERA,13879.5,872.4678084850311,49.0,2.4361835855615253,1.2472672295570373,0.379381007252394,0.24235216902361975,0.379381007252394,False,21.0,1.560827852635109,1.234361432718403,1030_ERA,1000,5,5000,black-box
80,RandomForest,1030_ERA,13879.5,83.44707691669464,4996.0,2.8827926699218422,1.3998507045209891,0.2602678949716467,0.023179743587970734,0.2602678949716467,False,21.0,1.6978788737486081,1.3565546550211045,1030_ERA,1000,5,5000,black-box
81,*SBP-GP,1030_ERA,13879.5,195364.02862477303,189.0,2.459716552539282,1.2552608480463467,0.3799522810457453,54.26778572910362,0.3799522810457453,False,21.0,1.5683483517826269,1.2411866644824843,1030_ERA,1000,5,5000,black-box
82,XGB,1030_ERA,13879.5,139.01971411705017,3912.0,2.489393967251752,1.2826826691627502,0.36988291201332535,0.03861658725473616,0.36988291201332535,False,21.0,1.5777813432956267,1.2497280727837816,1030_ERA,1000,5,5000,black-box
83,*gplearn,1030_ERA,13879.5,21954.106624007225,16.0,2.489578717774993,1.2652090426778306,0.3481747596035951,6.098362951113118,0.3481747596035951,False,21.0,1.5778398897781083,1.2497810176888908,1030_ERA,1000,5,5000,black-box
84,*AFP,1089_USCrime,13879.5,590.9397264719009,25.0,549.4230487729268,18.823003954894062,0.6396714078497243,0.16414992401997247,0.6396714078497243,False,21.0,23.439774930082557,6.310687162146642,1089_USCrime,47,14,658,black-box
85,*AFP_FE,1089_USCrime,13879.5,599.9825619459152,20.0,467.9659249968262,18.441437223297413,0.7122588079879696,0.16666182276275424,0.7122588079879696,False,21.0,21.632520079658452,6.150530111215818,1089_USCrime,47,14,658,black-box
86,*AIFeynman,1089_USCrime,13879.5,10221.345759272575,2849.0,2030.8467503866204,32.458239094719815,-0.19303927980371027,2.8392627109090487,0.0,False,21.0,45.06491706845382,7.616700387737462,1089_USCrime,47,14,658,black-box
87,AdaBoost,1089_USCrime,13879.5,26.49592673778534,1458.0,330.68081969218906,13.143512506012504,0.8191073733402132,0.007359979649384817,0.8191073733402132,False,21.0,18.184631414801594,5.804173120018802,1089_USCrime,47,14,658,black-box
88,*BSR,1089_USCrime,13879.5,7200.0214294195175,47.0,1326.327866089298,30.70905813505089,0.17578594931991975,2.0000059526165326,0.17578594931991975,False,21.0,36.41878452240407,7.190923076979165,1089_USCrime,47,14,658,black-box
89,*DSR,1089_USCrime,13879.5,31546.891278743744,6.0,557.0592346248499,19.898120243782977,0.6634835470552156,8.763025355206596,0.6634835470552156,False,21.0,23.6021023348525,6.324465111988909,1089_USCrime,47,14,658,black-box
90,*EPLEX,1089_USCrime,13879.5,1243.3869193792343,44.5,396.0117830620047,15.928251509529963,0.7680469703780384,0.34538525538312065,0.7680469703780384,False,21.0,19.900044800502453,5.983965960503679,1089_USCrime,47,14,658,black-box
91,*FEAT,1089_USCrime,13879.5,3978.1178485155106,69.5,543.9005193953457,18.6206658759209,0.6750434442612605,1.105032735698753,0.6750434442612605,False,21.0,23.32167488400749,6.300603244782479,1089_USCrime,47,14,658,black-box
92,*FFX,1089_USCrime,13879.5,42.85404670238495,307.5,379.75853658426706,15.602182770231185,0.7147476953109358,0.011903901861773598,0.7147476953109358,False,21.0,19.487394299502103,5.942165411968499,1089_USCrime,47,14,658,black-box
93,*GP-GOMEA,1089_USCrime,13879.5,6651.919267416,22.5,387.00492535932506,16.483885531163743,0.731440383152497,1.84775535206,0.731440383152497,False,21.0,19.67244075755027,5.961018033767767,1089_USCrime,47,14,658,black-box
94,*ITEA,1089_USCrime,13879.5,1052.2501335144043,137.0,500.0552849574028,18.05653383816656,0.6787559309659171,0.2922917037540012,0.6787559309659171,False,21.0,22.36191595005676,6.216716444213211,1089_USCrime,47,14,658,black-box
95,KernelRidge,1089_USCrime,13879.5,0.8412928581237793,35.0,324.8168182352487,14.730449667664391,0.7837999270410199,0.00023369246058993872,0.7837999270410199,False,21.0,18.022675113180306,5.786335316183824,1089_USCrime,47,14,658,black-box
96,LGBM,1089_USCrime,13879.5,8.668836951255798,1.0,1888.2599338384812,38.169047672587794,-0.06442317227796679,0.002408010264237722,0.0,False,21.0,43.454112968031936,7.543940461972744,1089_USCrime,47,14,658,black-box
97,Linear,1089_USCrime,13879.5,0.15620207786560059,13.0,354.09761233652785,15.632387334672838,0.776655458813895,4.338946607377794e-05,0.776655458813895,False,21.0,18.817481562008446,5.872392716007901,1089_USCrime,47,14,658,black-box
98,MLP,1089_USCrime,13879.5,9.42510986328125,3002.0,349.28362918100174,16.174275075031197,0.7556563298636402,0.002618086073133681,0.7556563298636402,False,21.0,18.689131311567206,5.8587431954002875,1089_USCrime,47,14,658,black-box
99,*MRGP,1089_USCrime,13879.5,60289.867129683495,984.0,1340.9955450619088,28.064604555179244,0.2877124041717208,16.74718531380097,0.2877124041717208,False,21.0,36.619606020025785,7.201912997900118,1089_USCrime,47,14,658,black-box
100,*Operon,1089_USCrime,13879.5,159.75136530399323,50.0,745.6122997242903,21.15580781300863,0.5419437242472755,0.04437537925110923,0.5419437242472755,False,21.0,27.305902287313092,6.615546040660736,1089_USCrime,47,14,658,black-box
101,RandomForest,1089_USCrime,13879.5,76.25610935688019,23845.0,385.3840695416657,15.919291666666638,0.774735263572718,0.021182252599133387,0.774735263572718,False,21.0,19.63120142889033,5.95683187359423,1089_USCrime,47,14,658,black-box
102,*SBP-GP,1089_USCrime,13879.5,38172.80773139,615.0,483.3193998713035,17.656419181654734,0.6927062126313291,10.60355770316389,0.6927062126313291,False,21.0,21.984526373595212,6.182744606156568,1089_USCrime,47,14,658,black-box
103,XGB,1089_USCrime,13879.5,157.83043730258942,1218.0,384.11388541935594,16.15021832784017,0.7374955503548417,0.043841788139608165,0.7374955503548417,False,21.0,19.598823572330968,5.953539096829773,1089_USCrime,47,14,658,black-box
104,*gplearn,1089_USCrime,13879.5,23580.28799045086,18.5,440.26539359181805,16.927549873068322,0.7240766842961588,6.550079997347461,0.7240766842961588,False,21.0,20.982502081301412,6.089646493966059,1089_USCrime,47,14,658,black-box
105,*AFP,1096_FacultySalaries,13879.5,584.1098144054413,12.0,4.302124519843485,1.6476480738024686,0.7492755138764731,0.1622527262237337,0.7492755138764731,False,21.0,2.07415633929641,1.6681075930387135,1096_FacultySalaries,50,5,250,black-box
106,*AFP_FE,1096_FacultySalaries,13879.5,550.9632261991501,17.5,4.402750357793629,1.660751787915506,0.8025174870822291,0.15304534061087502,0.8025174870822291,False,21.0,2.098273184738734,1.686908149425351,1096_FacultySalaries,50,5,250,black-box
107,*AIFeynman,1096_FacultySalaries,13539.5,137944.25964689255,400.0,127.02090410174861,4.18890614961481,-3.6613134099082156,38.3178499019146,0.0,False,21.0,11.2703551009606,4.8521935638803635,1096_FacultySalaries,50,5,250,black-box
108,AdaBoost,1096_FacultySalaries,13879.5,29.770337104797363,8881.0,7.404055859041561,1.8972299432655797,0.7209415649425128,0.008269538084665934,0.7209415649425128,False,21.0,2.7210394813456054,2.1287144296814597,1096_FacultySalaries,50,5,250,black-box
109,*BSR,1096_FacultySalaries,13879.5,7200.014378666878,57.0,4.480442445289569,1.650497787051204,0.6950681403272146,2.0000039940741328,0.6950681403272146,False,21.0,2.1167055641466925,1.7011858358922989,1096_FacultySalaries,50,5,250,black-box
110,*DSR,1096_FacultySalaries,13879.5,35923.173870921135,7.0,3.560434508102648,1.5196522376128863,0.8063104874515226,9.978659408589204,0.8063104874515226,False,21.0,1.8869113673150226,1.5174179058514055,1096_FacultySalaries,50,5,250,black-box
111,*EPLEX,1096_FacultySalaries,13879.5,1322.476863861084,56.5,4.744383386450655,1.5895451556541451,0.7791840462537956,0.36735468440585667,0.7791840462537956,False,21.0,2.1781605511189146,1.748222575070532,1096_FacultySalaries,50,5,250,black-box
112,*FEAT,1096_FacultySalaries,13879.5,3186.771919488907,21.0,5.355881058620321,1.6725398857600418,0.6542519673021578,0.8852144220802518,0.6542519673021578,False,21.0,2.3142776537443215,1.8493805352552464,1096_FacultySalaries,50,5,250,black-box
113,*FFX,1096_FacultySalaries,13879.5,51.79181969165802,613.5,27.2507515688646,1.9320943538910824,0.052526418165123656,0.014386616581016117,0.12913665976574157,False,21.0,5.220225241200287,3.3411200614461607,1096_FacultySalaries,50,5,250,black-box
114,*GP-GOMEA,1096_FacultySalaries,13879.5,15539.793133020401,23.5,5.140307691013048,1.6854268518773343,0.7545129253941136,4.316609203616778,0.7545129253941136,False,21.0,2.2672246670793452,1.8148748534463013,1096_FacultySalaries,50,5,250,black-box
