S,E,I,R,rzero,gamma,sigma,c,dI
10996373.5690336,308.908451703986,2622.38213103907,1535.14038358382,2.376,0.025,0.478,0,-86.7039291911967
6556652.39163672,118890.907473739,470445.04561373,3854851.65527583,0.5,0.072,0.134,0,-3231.60173297097
10973786.2282871,302.965676806993,4391.13739670178,22359.6686393062,1.36458333333333,0.025,0.478,0,-185.516692615691
10745964.9978698,5577.48887218098,14032.813198051,235264.70005987,1.51041666666667,0.069,0.229,0,291.781918757224
10826524.3895342,770.403082578726,14217.8425521475,159327.364831163,0.5,0.044,0.423,0,-641.515114076919
10939688.5981628,697.310508798681,13273.438491658,47180.6528365972,0.989583333333333,0.025,0.478,0,-603.35117364851
10995392.609543,1924.36282721702,1757.80109361594,1765.22653611831,3.195,0.072,0.134,0,295.144470649171
10961030.8396138,716.764559340341,8775.41046980209,30316.9853569512,1.59375,0.025,0.478,0,-349.897309214542
10973008.5501182,327.68576306438,4583.54273696727,22920.2213816747,1.41666666666667,0.025,0.478,0,-191.689187797438
10931118.2326049,410.429812797684,11634.9509474471,57676.3866347745,0.645833333333333,0.025,0.478,0,-567.563897062528
11000099.6255784,87.8312588717023,312.599903431452,339.943259257785,3.0975,0.029,0.277,0,12.9616278100457
10989321.2423079,367.617693399427,2802.54328532084,8348.59671342923,1.66666666666667,0.016,0.197,0,-85.0516047784577
10978039.9710215,195.220715745491,3854.50940320477,18750.2988594576,0.989583333333333,0.025,0.478,0,-176.493595614904
10934177.7883632,542.662415278907,12720.051569398,53399.4976519762,0.791666666666667,0.025,0.478,0,-602.372316396193
10994358.2212687,96.8904292168281,2290.28540427248,4094.60289786934,0.5,0.016,0.197,0,-108.566399293921
10795151.5927576,13516.3441059181,58542.0192118307,133630.04392462,2.57,0.029,0.277,0,-606.774996269071
10998719.4116907,76.5858460899171,768.540247482011,1275.46221578577,0.784,0.039,0.341,0,-27.9696593162551
10064568.6525628,2606.00503803356,11479.7271221547,922185.615276975,0.5,0.083,0.204,0,-136.380967928562
10732783.3587924,15162.7711553159,40234.2430657549,212659.626986448,1.41666666666667,0.0555555555555556,0.192307692307692,0,680.865337153188
10571917.6065979,26994.6578840006,51891.1368196081,350036.598698369,1.44791666666667,0.083,0.204,0,2307.09019827607
10604633.3560196,16648.0602804224,56965.0359105394,322593.547789299,1.01041666666667,0.0555555555555556,0.192307692307692,0,37.1896321726284
10111859.7197633,3961.71411559821,24562.7578875283,860455.808233313,0.5,0.069,0.229,0,-602.491640406692
10958167.4279367,757.64101344517,9745.25233849913,32169.6787113132,1.51041666666667,0.025,0.478,0,-395.765755895857
10998556.9600971,548.762146561979,1036.46556111995,697.812195202699,2.586,0.036,0.142,0,48.0877624875808
10997759.0118859,69.4912563157422,604.020351946003,2407.47650584284,1.028,0.039,0.341,0,-20.1967702207992
10991636.7076913,3292.59682956105,2979.54753289386,2931.14794622767,3.2475,0.072,0.134,0,453.037431001378
10966803.6990203,566.200696221193,6604.05253643774,26866.0477469778,1.71875,0.025,0.478,0,-257.878366012402
10896884.7166985,19446.7364224601,32948.8261991562,51559.720679771,1.57857142857143,0.083,0.204,0,1909.63224283183
1148055.07457389,52036.1207829918,1510450.56831025,8290298.23633289,2.8,0.029,0.277,0,-73892.2659173501
10998114.1159264,259.082113744369,1455.69269849606,1011.10926137774,2.348,0.016,0.197,0,-31.0450782790059
10072546.5267884,4363.02178396359,19177.9831939831,904752.46823361,0.5,0.083,0.204,0,-225.969046396321
10986315.5465805,2163.88170504027,5686.96726478137,6673.60444978799,1.45,0.036,0.142,0,100.269030405915
10998169.4619437,62.9958341788355,629.744446066833,1977.79777605392,0.884,0.039,0.341,0,-22.8856328257739
10673686.9673668,14405.0247009085,32890.5154382022,279857.492493995,1.67708333333333,0.069,0.229,0,941.800724860398
10982846.83666,214.52167631384,3709.20463753812,14069.4370261408,0.645833333333333,0.016,0.197,0,-164.727441563148
10851541.0869668,4521.22799778188,36967.6589055368,107810.026129924,1.46,0.029,0.277,0,-1228.16709522492
10969906.0052589,6043.91390741211,11941.2643393037,12948.8164944001,2.096,0.0555555555555556,0.192307692307692,0,499.460035908361
10670576.4299474,107782.761679841,107796.130448716,114684.677924015,2.74,0.072,0.134,0,14758.5652369171
10958941.9984913,2446.14611220688,6601.17311969171,32850.6822767935,1.59375,0.036,0.142,0,103.718825027414
10974080.5162062,293.978514107139,4323.68546672016,22141.8198128659,1.34375,0.025,0.478,0,-183.961378986611
10997887.599495,777.366704969744,1243.52954064079,931.504259371643,2.7,0.069,0.229,0,80.6879668429805
10788598.8770709,2436.07773277978,6391.9589663179,203413.086229897,0.96875,0.083,0.204,0,113.611346371787
10931037.7812495,24651.8835243376,22963.4018725196,22186.9333536347,3.05,0.072,0.134,0,3438.94287820105
10898121.9791306,6552.50073512572,45831.168439438,50334.3516948674,1.34,0.029,0.277,0,-1246.78413060098
10996638.6308651,6.91424833630299,137.053064591898,4057.40182196788,0.411111111111111,0.039,0.341,0,-6.28611149861943
10828661.477144,6173.70838259553,15096.8585901552,150907.955883195,1.64583333333333,0.0555555555555556,0.192307692307692,0,348.404050336248
1057132.79532349,40735.3397089725,1288506.6197531,8614465.24521444,2.8,0.029,0.277,0,-63822.6523142429
10996799.1622763,18.8163804738417,270.894660370484,3751.12668285647,0.586,0.039,0.341,0,-11.430804705111
10955181.9204745,786.535683848151,10660.119940909,34211.4239006888,1.42708333333333,0.025,0.478,0,-441.089388704177
10819067.8024115,372.341567346264,6913.98235369365,174485.873667538,0.5,0.044,0.423,0,-311.695119936493
10999748.818433,442.42176114632,274.54984796948,374.209957843805,3.0225,0.072,0.134,0,53.1362208270162
10881806.1155649,2019.6962880354,9008.31597009197,108005.872176905,0.78125,0.0555555555555556,0.192307692307692,0,-112.401343068427
10974960.4375742,743.050231052942,2746.59254313814,22389.9196516382,1.14583333333333,0.036,0.142,0,-9.60129170882128
10987325.7055819,392.566156596404,3464.35966997764,9657.36859156351,1.39583333333333,0.016,0.197,0,-116.951398934186
10874530.3732459,2817.09347112145,24583.4114041242,98909.1218788964,1.10416666666667,0.044,0.423,0,-823.957148181203
10890034.334099,2231.81845613559,13070.995910875,95502.8515339355,0.5625,0.0555555555555556,0.192307692307692,0,-297.18819364249
10986635.6839059,388.894631421212,3645.73441000003,10169.6870527215,1.30208333333333,0.016,0.197,0,-127.754573709079
10981631.557437,114.277188976599,2708.35286132628,16385.8125127746,0.5,0.016,0.197,0,-128.447111075963
10965314.621568,626.866500821472,7172.2584158089,27726.2535152745,1.72916666666667,0.025,0.478,0,-278.205142321497
10996725.9133399,15.3725782532413,222.835390143345,3875.87869176376,0.56,0.039,0.341,0,-9.4243064853207
10994123.5218265,963.42048315229,3521.51240490724,2231.54528550324,3.025,0.029,0.277,0,36.7949804323996
10996566.6858662,4.94026868847269,68.2721287139589,4200.10173638347,0.622222222222222,0.039,0.341,0,-2.82900877572233
1174456.08678289,55378.2912910063,1570033.67380651,8200971.94811962,2.8,0.029,0.277,0,-76565.6786651782
10976133.2108051,673.156838818569,2723.49541097748,21310.1369451324,1.03125,0.036,0.142,0,-21.6531568762638
10273206.6595175,24954.3936756203,88315.0606876949,614363.886119007,0.947916666666667,0.069,0.229,0,-106.747757261252
10993863.3055359,1356.50557664354,2916.33331372972,2703.85557373148,2.166,0.036,0.142,0,98.7794359695002
10997392.326023,891.071976748963,1440.20668279373,1116.39531749239,2.66,0.069,0.229,0,91.9446928077127
11000101.399221,105.194470108678,417.359245584142,216.04706329935,1.932,0.039,0.341,0,-2.94968566253276
10859202.0124093,14954.3809287777,45658.8939730947,81024.7126888239,0.916666666666667,0.069,0.229,0,339.664594869292
10842823.3971088,11821.8201875066,39279.7104873596,106915.07221624,0.5,0.083,0.204,0,89.4205288559114
10784237.2871242,2617.40992642262,8571.92312808135,205413.379821135,1.07291666666667,0.069,0.229,0,28.0389470348286
10992138.7841494,1608.81922411704,3572.71580278777,3519.6808237698,2.068,0.036,0.142,0,110.81820677318
10996337.6369375,12.5333148754981,93.8121293067413,4396.01761826537,1.03,0.039,0.341,0,-2.80211426415631
10990617.873547,956.009459006792,4756.54471970349,4509.57227431504,2.096,0.044,0.423,0,-79.9785577535697
6330035.98304173,118615.863121414,284434.404055832,4267753.74978106,1.62,0.072,0.134,0,7008.50283998895
1334161.89633975,76029.8312714062,1890600.22643856,7700048.04595031,2.8,0.029,0.277,0,-90449.7617095917
10440193.8182152,28152.0727568291,81364.8283391892,451129.280688636,1.22916666666667,0.069,0.229,0,893.652167255413
10960078.6607054,353.193338882154,3348.26227751332,37059.8836781684,1.04166666666667,0.044,0.423,0,-118.471614111869
10205798.5063412,28112.2112865736,77716.8965033593,689212.3858688,0.875,0.083,0.204,0,1087.99725398446
10914391.712787,30290.1400762775,28439.2294374758,27718.9176992115,3.0125,0.072,0.134,0,4214.34716102826
10861200.4199351,2787.57322622597,8361.59385651534,128490.412982062,1.26041666666667,0.0555555555555556,0.192307692307692,0,72.1256989196404
10777891.3415178,11943.5145983182,29195.1546053104,181809.989278452,1.58333333333333,0.0555555555555556,0.192307692307692,0,675.041375197812
10877103.744962,2047.62194504719,8039.45916598623,113649.173926893,0.90625,0.0555555555555556,0.192307692307692,0,-52.6389327821334
10982665.4110989,194.49945636106,3617.50158417763,14362.5878605571,0.59375,0.016,0.197,0,-163.573630621405
10821334.6213198,7123.11611365742,17022.0871889752,155360.175377489,1.69791666666667,0.0555555555555556,0.192307692307692,0,423.720319955061
10996594.5136367,5.50229770901296,88.2234248980652,4151.76064071927,0.533333333333333,0.039,0.341,0,-3.84425456707244
10535501.7161114,24997.5574559754,65843.6808464566,374497.045586027,1.38541666666667,0.069,0.229,0,1149.57152163524
10910103.7647605,2563.31575974531,17952.5049324483,70220.4145473382,1.41666666666667,0.044,0.423,0,-504.074999028646
10991447.6421089,2180.89957361043,3743.94484424696,3467.51347325175,2.446,0.069,0.229,0,211.38995656419
10872548.8814752,2164.25541427767,7693.61573085423,118433.247379608,1.02083333333333,0.0555555555555556,0.192307692307692,0,-11.2585343933884
10979374.3356359,171.703053189701,4011.4404452438,17282.5208655841,0.833333333333333,0.025,0.478,0,-190.093402974325
10963728.3861354,665.948337966083,7784.76412363649,28660.9014028965,1.67708333333333,0.025,0.478,0,-304.649902599741
10947839.5282557,892.198600675736,5824.55118036576,46283.7219632722,1.57291666666667,0.044,0.423,0,-151.889774467322
10103583.9411016,2605.15163219073,16181.0453128807,878469.861953108,0.5,0.069,0.229,0,-398.148181611822
10899766.2047529,2753.72235611716,20480.7564785729,77839.316412426,1.32291666666667,0.044,0.423,0,-608.196700411014
10849851.1847254,11899.8563419009,45430.6618309046,93658.2971017828,0.583333333333333,0.069,0.229,0,-233.949649605154
10997151.5987508,999.308615540489,1673.59577207119,1015.49686163219,2.66,0.0555555555555556,0.192307692307692,0,99.0567138430609
10150549.7316136,11656.6998302115,57607.7040474669,781025.864508577,0.614583333333333,0.069,0.229,0,-959.513716205209
10790183.7728484,2454.71178730453,8729.5455503458,199471.96981379,0.96875,0.069,0.229,0,-14.3320623373852
10753856.1448827,4775.72385861641,12400.4431113016,229807.688147322,1.44791666666667,0.069,0.229,0,229.182598922405
10999932.3223388,316.462454308181,393.608906403524,197.606300508808,2.98,0.036,0.142,0,38.9400938670724
10996730.8451698,15.7467859587677,226.287220745167,3867.12082357286,0.566666666666667,0.039,0.341,0,-9.53984555004801
10903501.2568628,6672.70920915983,44252.0216484527,46414.0122796608,1.43,0.029,0.277,0,-1150.36394956902
1507416.84098111,34188.9464675616,120958.371538239,9338275.84101314,2.8,0.072,0.134,0,-125.668765856953
10649397.9011909,114098.19766844,114653.163978579,122690.737162043,2.72,0.072,0.134,0,15576.0781247364
10934632.469003,10554.0741889961,24101.6888685479,31551.7679394182,1.57857142857143,0.0555555555555556,0.192307692307692,0,690.75283186822
10990189.7992309,320.518485026462,2488.14249366985,7841.5397905413,1.70833333333333,0.016,0.197,0,-76.5849109970736
10924014.2911298,1922.49716401255,9967.50845754673,64935.7032486606,0.65625,0.036,0.142,0,-183.93931433672
10995320.3152453,313.564127101657,2743.88128720832,2462.23934042675,1.19285714285714,0.016,0.197,0,-92.0959963170965
10607730.9900318,16763.1705336711,56915.7623111966,319430.077123227,1.02083333333333,0.0555555555555556,0.192307692307692,0,61.2485933029493
10996533.4824265,4.50833735956128,52.9211741645043,4249.08806200332,0.738888888888889,0.039,0.341,0,-2.0667943193674
10996308.8993404,7.45120998546891,91.0577601297209,4432.59168944017,0.58,0.039,0.341,0,-3.62941694332282
10789951.9406975,10836.322922013,25888.9309121382,174162.805468266,1.63541666666667,0.0555555555555556,0.192307692307692,0,645.421557893835
10978852.4717593,577.549779076761,3230.18016368274,18179.7982979601,0.71875,0.036,0.142,0,-68.3091405805919
10846667.6796997,10063.621063494,44254.1935926283,99854.5056440843,0.5,0.069,0.229,0,-522.420564573254
10816908.9744897,4726.17008518806,19642.6778686653,159562.17755635,0.5,0.083,0.204,0,-181.777671950398
10960579.265936,7922.5191019425,15062.5938006656,17275.6211613855,2.11,0.069,0.229,0,686.205110804294
7365014.00386084,477307.086576663,882784.850364115,2275734.05919839,1.31,0.072,0.134,0,42746.3934571266
10821112.3659074,480.398384405937,8918.79802888766,170328.437679328,0.5,0.044,0.423,0,-403.686757922838
10996394.178374,15.2322529596427,74.8197790685557,4355.76959396788,1.81,0.039,0.341,0,-1.2366739179475
10996527.3059975,300.91491479655,2541.17949342613,1470.5995942546,2.39,0.025,0.478,0,-83.0168798035501
10982350.2981617,939.867583986588,5795.22066993688,11754.6135844687,0.5,0.036,0.142,0,-141.150669089857
10999629.494755,343.30443161268,565.749889725857,301.450923595431,2.86,0.036,0.142,0,34.5149050262352
10943216.4757031,3113.98099446693,10269.8395931036,44239.7037093194,1.20833333333333,0.036,0.142,0,28.3303713584484
6310654.39913674,121885.502378261,280223.125493653,4288076.97299137,1.7,0.072,0.134,0,7860.03183436264
10859420.903645,2921.09361744771,8595.06423819965,129902.938499297,1.29166666666667,0.0555555555555556,0.192307692307692,0,84.5956793956226
10999718.1229031,105.851315157124,583.382393610483,432.643388142514,1.624,0.039,0.341,0,-12.0648853350987
10494141.7366112,32098.6935471675,65825.7007760488,408773.86906557,1.32291666666667,0.083,0.204,0,2516.71621249178
1688439.09466101,101745.242852732,317941.363005572,8892714.29948072,2.8,0.072,0.134,0,1933.16347362538
10998869.1171922,547.086866524806,849.698129845685,574.09781138261,2.8,0.069,0.229,0,58.3061590274372
10996751.9452136,17.0794532968595,240.239121231818,3830.73621193775,0.593333333333333,0.039,0.341,0,-10.0725562827499
10852792.7881976,2355.71039502795,24767.4354873345,120924.065920092,0.895833333333333,0.044,0.423,0,-923.32759276164
10845587.7023624,2066.63885736837,23711.4882319635,129474.170548311,0.8125,0.044,0.423,0,-919.732426744851
10484492.5030502,2259.06356220236,14263.8545904076,499824.578797072,0.5,0.0555555555555556,0.192307692307692,0,-358.235156978261
4926530.08501433,282823.143288572,445947.223329631,5345539.54836753,2.84,0.072,0.134,0,29619.3225360001
10996632.1238269,6.55102872506324,128.400569224458,4072.92457514802,0.427777777777778,0.039,0.341,0,-5.8803246431785
10998680.8620783,179.000109790764,1369.74275276804,610.395059166868,2.66,0.025,0.478,0,-41.7853584437545
10986595.8592751,576.743701666312,7233.55518908405,6433.84183418383,1.45,0.025,0.478,0,-291.139767081377
10111458.293912,14209.0693878368,50465.5690340283,824707.067666124,0.614583333333333,0.083,0.204,0,-69.7873103848963
10825343.7072086,704.692066221153,13064.720561864,161726.880163372,0.5,0.044,0.423,0,-590.307424610082
10978504.6495821,186.506189418948,3881.81309816378,18267.0311302203,0.9375,0.025,0.478,0,-179.807681992841
10159278.3474824,22689.9158100471,68664.8858914211,750206.850816115,0.770833333333333,0.083,0.204,0,549.2382521426
10995057.248848,244.064758973758,2809.19701704314,2729.48937601652,0.75,0.016,0.197,0,-109.108979484801
10972379.7789318,949.430763764759,3054.29459579981,24456.4957086702,1.35416666666667,0.036,0.142,0,12.8752834915
10981619.4111067,140.024349837592,5152.52165609437,13928.0428872772,0.520833333333333,0.025,0.478,0,-259.029382911498
10895164.2996065,2856.14144138096,17393.179272393,85426.3796797006,0.5,0.0555555555555556,0.192307692307692,0,-416.570896129144
10687303.7237415,17031.3655305274,49018.9491079441,247485.961619957,1.27083333333333,0.0555555555555556,0.192307692307692,0,551.921899927124
10877062.3157236,4722.94186112125,49163.9848050847,69890.7576102136,0.74,0.029,0.277,0,-1787.54565419271
10996821.6746563,587.72244229902,2073.31922881225,1357.28367265863,3.1625,0.029,0.277,0,-11.0187231550125
10996265.9175724,2.22360168744902,45.1667601074696,4526.69206576898,0.4,0.039,0.341,0,-2.07177303828278
10999851.1500834,342.722925558788,414.156721164959,231.97026990058,2.96,0.069,0.229,0,43.2275015925575
10996592.6859589,5.46079347009756,86.6820986123228,4155.17114906472,0.538888888888889,0.039,0.341,0,-3.7543296325649
10700661.8406126,16625.5546977254,46706.5447778033,236846.059911786,1.3125,0.0555555555555556,0.192307692307692,0,602.398701288534
10996605.7718593,5.77025517104431,98.5086863791131,4129.9491991289,0.5,0.039,0.341,0,-4.3628957719752
10997831.8529392,277.21012325313,1597.73391909503,1133.20301846767,2.278,0.016,0.197,0,-35.4528443563986
10998763.939177,212.879543496456,1118.99590732852,744.185372138827,2.53,0.016,0.197,0,-21.1594997893942
10903281.5293596,2699.5587339869,19669.9642755397,75188.9476309179,1.35416666666667,0.044,0.423,0,-573.55368039675
10996615.5688995,6.02146246302628,108.631497295541,4109.77814070123,0.472222222222222,0.039,0.341,0,-4.89366679436057
10866443.522591,2708.21051234677,25113.3650307385,106574.901866014,1.03125,0.044,0.423,0,-874.394829574797
10996252.8266319,1.29403746146558,26.4462806564803,4559.43304990852,0.4,0.039,0.341,0,-1.19627670043648
10919604.9846234,1039.95577471653,7178.149239303,73016.9103626193,0.5,0.036,0.142,0,-198.744774180423
10988177.7158527,388.635626856754,3203.60981092259,9070.03870956481,1.51041666666667,0.016,0.197,0,-103.242407589442
10994489.89943,102.747777904505,2416.25990192364,3831.09289021399,0.5,0.016,0.197,0,-114.49083534843
10968171.8685815,1401.88876710558,3957.00417369397,27309.2384776718,1.59375,0.036,0.142,0,49.889175974145
7784864.10958308,398185.289269409,1636307.75916684,1181482.84198068,3.58666666666667,0.029,0.277,0,-14346.0664933274
10993854.6982932,114.191214961516,1966.21968537929,4904.89080651841,0.75,0.016,0.197,0,-87.2684087065939
1479402.6325192,23781.7388596998,85677.6761494246,9411977.95247175,2.8,0.072,0.134,0,-175.595224920958
10830000.6217562,6005.53835650467,14755.041648977,150078.798238255,1.63541666666667,0.0555555555555556,0.192307692307692,0,335.148009910678
10933686.273225,524.198167616015,12597.0553548987,54032.4732523377,0.770833333333333,0.025,0.478,0,-599.128454610483
10962738.6450132,686.100640303923,8156.55956386656,29258.694782524,1.64583333333333,0.025,0.478,0,-321.304719853332
10880255.0866025,2018.31383152172,8605.29723681118,109961.302329156,0.822916666666667,0.0555555555555556,0.192307692307692,0,-89.9052894816004
10996886.3380447,22.1409072422435,332.707218880084,3598.8138291967,0.56,0.039,0.341,0,-14.2252865970094
10933929.7927664,533.461714977784,12659.9912963632,53716.754222093,0.78125,0.025,0.478,0,-600.449078725061
10790786.4641407,14062.2365765423,60633.430169336,135357.869113469,2.58,0.029,0.277,0,-646.420433905701
10999888.6226456,315.340592370145,423.714908737855,212.3218533199,2.96,0.036,0.142,0,36.9737460342309
10927319.4804379,227.656958434855,8538.82933928462,64754.0332642286,0.5,0.025,0.478,0,-430.553215270096
10996263.2220456,2.02502347325449,41.3192441384635,4533.43368677364,0.4,0.039,0.341,0,-1.90275497203981
10984136.9683561,267.226059461378,7545.70114111571,8890.10444326426,0.5,0.025,0.478,0,-367.577361179143
10996261.9617266,1.93519521572164,39.5172823056835,4536.58579587034,0.4,0.039,0.341,0,-1.81470903267582
10132208.3883674,7824.16517404297,44550.6630292847,816256.783429112,0.510416666666667,0.069,0.229,0,-971.22839145812
10996893.6482909,22.4298234450183,338.190181022903,3585.73170466889,0.558,0.039,0.341,0,-14.4762285347463
8646745.76623589,501894.751525446,691037.228072842,1161162.25416584,1.88,0.072,0.134,0,58135.5198620837
10996575.0836238,5.09300756794526,73.5354285212657,4186.28794006604,0.594444444444444,0.039,0.341,0,-3.10708078946915
10501008.5818835,31744.076247923,64731.7340094365,403355.607859027,1.33333333333333,0.083,0.204,0,2507.13473751349
10993220.8065512,142.889196213152,1845.38572975476,5630.91852285185,1.0,0.016,0.197,0,-75.0814157354244
10996955.6669203,24.9401440235919,386.499042277117,3472.89389340222,0.542,0.039,0.341,0,-16.680273010218
10106365.2743585,3060.23932811646,19000.453993837,872414.032319319,0.5,0.069,0.229,0,-466.86873195996
10949507.9500697,9101.99829272768,19071.9133814379,23158.1382560763,1.928,0.0555555555555556,0.192307692307692,0,690.840903562594
10985964.0231156,378.944120973894,3791.40782061748,10705.6249428756,1.20833333333333,0.016,0.197,0,-137.803220176524
10832565.7196888,5688.49147365085,14110.1466168453,148475.642220606,1.61458333333333,0.0555555555555556,0.192307692307692,0,310.136933762339
10999179.6320381,148.104897956654,1085.42787882508,426.835185106375,2.78,0.025,0.478,0,-32.1255078925072
10909017.581639,6729.30818141538,42452.208394462,42640.9017851734,1.52,0.029,0.277,0,-1088.87632744572
10998998.7599817,98.5438630561981,769.603460746082,973.092694552398,1.064,0.039,0.341,0,-23.7946161296235
10981944.7603033,841.181307551235,5486.98857383514,12567.0698153857,0.5,0.036,0.142,0,-143.064143651795
10994997.3261446,213.707651689105,2809.54501299202,2819.4211907154,0.583333333333333,0.016,0.197,0,-115.00917670017
10982598.3643989,186.491406412789,3577.43239583212,14477.7117989273,0.572916666666667,0.016,0.197,0,-162.829187656667
10973327.1462645,317.391795466741,4502.36413957331,22693.0978004295,1.39583333333333,0.025,0.478,0,-189.127180918164
10641191.5811607,17597.116362469,41663.186370364,300388.116106283,1.59375,0.069,0.229,0,1069.51418570575
10971805.1199268,368.542030684956,4916.04675277612,23750.2912897237,1.48958333333333,0.025,0.478,0,-202.244405786686
10983006.2491534,230.43102155978,3773.37015746147,13829.9496675922,0.6875,0.016,0.197,0,-165.378316144889
10999587.108353,222.367502015713,590.958532514489,439.565612460978,2.94,0.016,0.197,0,9.97448217857424
10999174.8073128,475.028415939075,724.50554279284,465.658728470189,2.84,0.069,0.229,0,51.0353811809059
10822568.9927186,557.385904763024,10346.6241747251,167366.997201951,0.5,0.044,0.423,0,-467.82999814023
10323038.4588556,34684.6931503113,82780.5064469548,560336.341547132,1.07291666666667,0.083,0.204,0,2071.54922208036
10682767.4817299,15321.8763310035,26529.0653034101,276221.576635609,1.6875,0.083,0.204,0,1472.0795178346
10961951.0526857,318.659882433169,3440.45282520771,35129.8346066084,0.90625,0.044,0.423,0,-129.82447231316
10113468.7420987,4227.27478278058,26188.8542115627,856955.12890676,0.5,0.069,0.229,0,-642.359588955031
10507816.7881237,31374.1865820699,63620.1362872711,398028.889006892,1.34375,0.083,0.204,0,2499.52315668678
10984654.1591457,338.426290979027,3958.63963244466,11888.7749309125,1.01041666666667,0.016,0.197,0,-154.913590993524
10996630.8365115,1113.96638443735,1882.34170406097,1212.85540004297,2.62,0.0555555555555556,0.192307692307692,0,108.48585052523
1466881.76208639,19122.7902479919,69464.1226192346,9445371.32504645,2.8,0.072,0.134,0,-182.556513726423
9484056.9571768,386899.8160004,470912.312321409,658970.914501411,2.16,0.072,0.134,0,48240.4057969037
10816236.2532474,3341.21728380083,19593.3244435112,161669.205025175,0.5,0.069,0.229,0,-445.427093085173
10851203.5015915,3635.11333393712,9955.81658744588,136045.568487032,1.41666666666667,0.0555555555555556,0.192307692307692,0,145.945302603514
10954163.76887,2769.74400054458,7918.83693733496,35987.650192116,1.46875,0.036,0.142,0,92.6647340945759
10289762.7271103,25859.3656541731,89238.2152299022,595979.692005471,0.979166666666667,0.069,0.229,0,15.3608755566369
10991706.3742413,221.852026950863,2035.58154001225,6876.19219185521,1.42708333333333,0.016,0.197,0,-70.3131054678507
10927214.1059669,224.877206768448,8434.81564884864,64966.2011773579,0.5,0.025,0.478,0,-425.404408747748
10924250.9950885,1961.56372255319,10052.0983699726,64575.3428190198,0.666666666666667,0.036,0.142,0,-181.308891412049
10999754.9570099,104.96315706586,569.926692999627,410.153140053143,1.652,0.039,0.341,0,-11.4697441393713
10954139.0703389,559.945041108059,4148.56582911699,41992.4187907914,1.36458333333333,0.044,0.423,0,-122.809719261964
10996254.106152,1.38363540797565,28.2772969899697,4556.23291558749,0.4,0.039,0.341,0,-1.30609989038215
10930491.6031915,10618.3138215177,25425.6613256233,34304.4216613783,1.45,0.0555555555555556,0.192307692307692,0,629.153040369651
10806357.2662117,2620.30231385473,12782.7728594437,179079.658614889,0.666666666666667,0.069,0.229,0,-204.742986589938
10497201.9375561,157697.867026833,163638.803551175,182301.391865902,2.6,0.072,0.134,0,21256.3798124805
10977824.4039495,602.481544937653,2912.86938217162,19500.2451233959,0.84375,0.036,0.142,0,-46.114047627977
10916493.3264596,6707.76439979595,39769.6532913106,37869.2558492693,1.64,0.029,0.277,0,-900.022770611618
10927845.5072454,2440.14618609912,10901.0461634969,59653.3004050262,0.802083333333333,0.036,0.142,0,-136.519929417303
10994028.2149263,2419.55643866237,2201.27864248349,2190.94999256017,3.2175,0.072,0.134,0,367.368341012482
10117013.9631824,4818.36774734542,29763.7571172358,849243.91195279,0.5,0.069,0.229,0,-726.545499198969
10957561.6321592,424.522330889361,3539.03648310014,39314.8090267516,1.19791666666667,0.044,0.423,0,-114.76206767512
